,Last Name,First Name,Division,Country,BIB,Overall Place,Time,Seconds,Year,Gender
83,Catherine,Chua,35-39,USA,298,"1,016",3:05:03,11103,2014,F
84,Anna,Steinman,20-24,USA,774,"1,021",3:05:09,11109,2014,F
85,Megan,Tursi,30-34,USA,288,"1,025",3:05:14,11114,2014,F
86,Kristin,Saad,30-34,USA,17896,"1,032",3:05:24,11124,2014,F
87,Allie,Walters,25-29,USA,5423,"1,047",3:05:44,11144,2014,F
88,Hegla,Parrilla,40-44,MEX,5402,"1,059",3:05:51,11151,2014,F
89,Astrid,Müller,40-44,SUI,2860,"1,065",3:05:58,11158,2014,F
90,Pamela,O'Sullivan,25-29,USA,2346,"1,071",3:06:04,11164,2014,F
91,Elizabeth,Campbell,20-24,USA,252,"1,074",3:06:07,11167,2014,F
92,Lindsey,Maclise,30-34,USA,276,"1,097",3:06:25,11185,2014,F
93,Laura,Kirk,30-34,USA,679,"1,128",3:06:52,11212,2014,F
94,Sworupa,Khadka,35-39,NEP,219,"1,130",3:06:53,11213,2014,F
95,Erin,Chamberlin,35-39,USA,4498,"1,134",3:06:56,11216,2014,F
96,Malin,Fyhr,25-29,SWE,4513,"1,139",3:06:59,11219,2014,F
97,Kelly,Gillen,30-34,USA,262,"1,143",3:07:01,11221,2014,F
98,Katlyn,Regan,25-29,USA,6245,"1,150",3:07:04,11224,2014,F
99,Wilson,Kipsang,30-34,KEN,2,1,2:10:59,7859,2014,M
100,Lelisa Desisa,Benti,20-24,ETH,4,2,2:11:06,7866,2014,M
101,Gebre,Gebremariam,30-34,ETH,7,3,2:12:13,7933,2014,M
102,Meb,Keflezighi,35-39,USA,5,4,2:13:18,7998,2014,M
103,Stephen,Kiprotich,25-29,UGA,11,5,2:13:25,8005,2014,M
104,Geoffrey,Mutai,30-34,KEN,1,6,2:13:44,8024,2014,M
105,Masato,Imai,30-34,JPN,6,7,2:14:36,8076,2014,M
106,Peter Cheruiyot,Kirui,25-29,KEN,8,8,2:14:51,8091,2014,M
107,Ryan,Vail,25-29,USA,12,9,2:15:08,8108,2014,M
108,Nick,Arciniaga,30-34,USA,15,10,2:15:39,8139,2014,M
109,Yuki,Kawauchi,25-29,JPN,14,11,2:16:41,8201,2014,M
110,Lusapho,April,30-34,RSA,3,12,2:16:50,8210,2014,M
