,Last Name,First Name,Division,Country,BIB,Overall Place,Time,Seconds,Year,Gender
0,Frith,Thomas,18-39,GBR,1252,1,02:18:35,8315,2022,M
1,Hogan,Sean,18-39,GBR,1259,2,02:18:51,8331,2022,M
2,Morwood,Joe,18-39,GBR,1251,3,02:20:33,8433,2022,M
3,Wilson,Kenny,18-39,GBR,1262,4,02:20:40,8440,2022,M
4,Laybourne,Gary,40-44,GBR,1261,5,02:21:07,8467,2022,M
5,Sandison,Charlie,18-39,GBR,1253,6,02:21:16,8476,2022,M
6,Jones,Dominic,18-39,GBR,1255,7,02:21:32,8492,2022,M
7,Roddy,Patrick,18-39,GBR,1268,8,02:22:29,8549,2022,M
8,Gladley,Alex,18-39,GBR,1260,9,02:22:59,8579,2022,M
9,Gamble-thompson,Lewis,18-39,GBR,1254,10,02:23:13,8593,2022,M
10,Morrow,Joe,18-39,GBR,10325,11,02:23:22,8602,2022,M
11,Bagley,Daniel,18-39,GBR,1265,12,02:23:48,8628,2022,M
12,Bentley,Russell,40-44,GBR,1258,13,02:23:51,8631,2022,M
13,Blake,Stephen,18-39,GBR,1299,14,02:23:56,8636,2022,M
14,Kevern,Neil,18-39,GBR,1280,15,02:24:45,8685,2022,M
15,Mctaggart,Robert,18-39,GBR,1270,16,02:24:48,8688,2022,M
16,Haynes,Stuart,45-49,GBR,1305,17,02:24:57,8697,2022,M
17,Molyneux,Paul,40-44,GBR,1274,18,02:25:01,8701,2022,M
18,Hoad,James,18-39,GBR,1272,19,02:25:02,8702,2022,M
19,Frère,Mehdi,18-39,FRA,8512,20,02:25:05,8705,2022,M
20,Aldred,Tom,40-44,GBR,1306,21,02:25:11,8711,2022,M
21,Waddington,Michael,18-39,GBR,1279,22,02:25:25,8725,2022,M
22,Van ongeval,Tom,50-54,BEL,621,23,02:25:38,8738,2022,M
23,Garrod,Ollie,18-39,GBR,1264,24,02:25:38,8738,2022,M
24,Teece,Joshua,18-39,GBR,1278,25,02:25:45,8745,2022,M
25,Pool,Kevin,18-39,USA,6063,26,02:25:57,8757,2022,M
26,Lane,Harry,18-39,GBR,1325,27,02:26:05,8765,2022,M
27,Crawford,Simon,18-39,GBR,1298,28,02:26:14,8774,2022,M
