,Last Name,First Name,Division,Country,BIB,Overall Place,Time,Seconds,Year,Gender
0,Bogantes gonzalez,Diana,18-39,CRC,5972,232,02:33:40,9220,2023,F
1,Hodgkinson,Rachel,18-39,GBR,1424,278,02:34:46,9286,2023,F
2,Gaunt,Helen,40-44,GBR,1680,305,02:35:38,9338,2023,F
3,Maridal,Hanne,18-39,NOR,1996,313,02:35:50,9350,2023,F
4,Baker,Chelsea,18-39,GBR,1138,324,02:36:06,9366,2023,F
5,Townsend,Heather,18-39,GBR,1941,391,02:37:01,9421,2023,F
6,Guarner,Mireia,18-39,ESP,4135,501,02:38:35,9515,2023,F
7,Malir,Georgia,18-39,GBR,1743,618,02:40:09,9609,2023,F
8,Olding,Katie,18-39,GBR,2020,650,02:40:46,9646,2023,F
9,Braham,Alice,45-49,GBR,1416,668,02:41:07,9667,2023,F
10,Gallop,Rebecca,18-39,GBR,1173,721,02:41:49,9709,2023,F
11,Wong,Marina,40-44,AUS,1526,791,02:42:47,9767,2023,F
12,O'regan,Johanna,40-44,GBR,1623,854,02:43:36,9816,2023,F
13,Wild,Rosie,18-39,GBR,5859,860,02:43:40,9820,2023,F
14,Short,Sarah,18-39,AUS,1761,872,02:43:47,9827,2023,F
15,Mason,Charlotte,18-39,GBR,1101,886,02:43:57,9837,2023,F
16,Ward,Charlotte,18-39,GBR,1334,929,02:44:36,9876,2023,F
17,Green,Sara,40-44,GBR,1077,934,02:44:41,9881,2023,F
18,Pickett,Isabelle,18-39,AUS,1638,950,02:44:53,9893,2023,F
19,Holt,Sarah,40-44,GBR,1596,971,02:45:04,9904,2023,F
20,Granger,Annabel,45-49,GBR,1803,994,02:45:21,9921,2023,F
21,Delderfield,Sophie,40-44,GBR,1463,998,02:45:23,9923,2023,F
22,Hitchings,Jenny,55-59,USA,1678,1006,02:45:27,9927,2023,F
23,Halcarz,Abby,18-39,GBR,1165,1050,02:46:01,9961,2023,F
24,Woodward,Katy,40-44,GBR,1934,1058,02:46:05,9965,2023,F
25,Nagel-wallimann,Doris maria,18-39,SUI,6080,1064,02:46:11,9971,2023,F
26,Antell,Sammy,18-39,GBR,1717,1069,02:46:16,9976,2023,F
27,Bijl,Julia,18-39,GBR,1168,1081,02:46:24,9984,2023,F
28,Mcgrevey,Jenna,18-39,GBR,1790,1136,02:46:55,10015,2023,F
29,Marchant,Emily,18-39,GBR,1810,1154,02:47:09,10029,2023,F
30,Lawson,Anna,18-39,GBR,1152,1170,02:47:18,10038,2023,F
31,Fouhy,Vicky,18-39,GBR,1765,1180,02:47:22,10042,2023,F
32,Nic fhogartaigh,Caoimhe,45-49,IRL,1380,1208,02:47:37,10057,2023,F
33,Law,Phoebe,18-39,GBR,2358,1245,02:47:55,10075,2023,F
34,Baker,Grace,18-39,GBR,40355,1290,02:48:24,10104,2023,F
35,Parker,Georgina,18-39,GBR,1061,1324,02:48:43,10123,2023,F
36,Lowery,Sarah,40-44,GBR,1603,1331,02:48:46,10126,2023,F
37,Saunders,Jessica,18-39,GBR,1174,1390,02:49:13,10153,2023,F
38,Clark,Jennifer,18-39,GBR,1740,1444,02:49:46,10186,2023,F
39,Flynn,Louise,18-39,GBR,1538,1446,02:49:49,10189,2023,F
40,Turner,Caroline,40-44,GBR,4176,1459,02:49:54,10194,2023,F
41,Estrada arriaga,Tania lizbeth,18-39,MEX,5911,1469,02:49:59,10199,2023,F
42,Grima,Claire,45-49,GBR,1821,1473,02:50:01,10201,2023,F
43,Thompson,Lucy,18-39,GBR,1782,1484,02:50:09,10209,2023,F
44,Hartenbach,Julie,18-39,USA,5834,1500,02:50:19,10219,2023,F
45,Smith,Keely,40-44,GBR,1142,1503,02:50:22,10222,2023,F
46,Chapple,Megan,18-39,GBR,1880,1515,02:50:33,10233,2023,F
47,Rennie,Kate,45-49,GBR,1185,1531,02:50:42,10242,2023,F
48,Waugh,Helen,45-49,GBR,1551,1538,02:50:45,10245,2023,F
49,Ezra ham,Rebecca,18-39,GBR,1160,1556,02:50:56,10256,2023,F
50,Wangler,Natalie,18-39,GER,1759,1584,02:51:09,10269,2023,F
51,Wright,Becky,18-39,GBR,1916,1585,02:51:09,10269,2023,F
52,Houghton,Belinda,18-39,GBR,1589,1586,02:51:09,10269,2023,F
53,Thomas,Laura,18-39,GBR,1884,1593,02:51:12,10272,2023,F
54,Parker,Cordelia,18-39,GBR,1238,1604,02:51:20,10280,2023,F
55,Tyers,Jess,18-39,GBR,43031,1616,02:51:28,10288,2023,F
56,Brenchley,Caroline,18-39,GBR,3187,1626,02:51:35,10295,2023,F
57,Hammett,Claire,18-39,GBR,1909,1637,02:51:41,10301,2023,F
58,Kelly,Alice,18-39,GBR,1515,1643,02:51:43,10303,2023,F
59,Rockliffe,Jacqueline,50-54,GBR,1169,1646,02:51:43,10303,2023,F
60,Nel,Kelly,18-39,RSA,1547,1651,02:51:47,10307,2023,F
61,Strum,Meaghan,18-39,CAN,42585,1690,02:52:06,10326,2023,F
62,Renfer,Molly,18-39,SUI,1507,1705,02:52:13,10333,2023,F
63,Dawes,Rhian,18-39,GBR,1766,1711,02:52:15,10335,2023,F
64,Robbins,Emily,18-39,GBR,1935,1720,02:52:20,10340,2023,F
65,Vine,Juliet,18-39,GBR,1527,1723,02:52:22,10342,2023,F
66,Gibson,Melissah,18-39,GBR,1282,1731,02:52:27,10347,2023,F
67,Hillier-moses,Gemma,18-39,GBR,1035,1744,02:52:33,10353,2023,F
68,Bond,Emma,18-39,GBR,1016,1746,02:52:33,10353,2023,F
69,Baverstock,Ellie,18-39,GBR,42171,1781,02:52:48,10368,2023,F
70,Beever,Margaret,40-44,GBR,1999,1789,02:52:51,10371,2023,F
71,Flaherty,Sarah,45-49,GBR,1265,1815,02:53:06,10386,2023,F
72,Masilioniene,Neringa,18-39,LTU,2452,1823,02:53:10,10390,2023,F
73,Ebbs,Laura,40-44,GBR,1070,1829,02:53:14,10394,2023,F
74,Warren,Elle,18-39,GBR,1145,1844,02:53:19,10399,2023,F
75,Ratcliffe,Victoria,45-49,GBR,1531,1850,02:53:23,10403,2023,F
76,Burns,Natalie,18-39,GBR,1928,1865,02:53:31,10411,2023,F
77,French,Mollie,18-39,GBR,3191,1867,02:53:32,10412,2023,F
78,Gunning,Sophie,18-39,GBR,1962,1894,02:53:48,10428,2023,F
79,King,Katie,18-39,GBR,1631,1928,02:54:08,10448,2023,F
80,Trahair-williams,Sarah,18-39,GBR,1646,1931,02:54:09,10449,2023,F
81,Cowell-jones,Zoe,40-44,GBR,1306,1935,02:54:13,10453,2023,F
82,Van vulpen,Kaili,18-39,CAN,38332,1940,02:54:13,10453,2023,F
83,Sogo,Laura,18-39,ESP,34395,1951,02:54:20,10460,2023,F
84,Mussen,Helen,45-49,GBR,1648,1954,02:54:22,10462,2023,F
85,Ponder,Rosamund,45-49,GBR,1170,1981,02:54:32,10472,2023,F
86,Chazen,Zoe,18-39,USA,42356,1996,02:54:39,10479,2023,F
87,Holden,Georgia,18-39,AUS,1158,2001,02:54:40,10480,2023,F
88,Pearson,Gill,45-49,GBR,1312,2006,02:54:43,10483,2023,F
89,Biney,Tracy,45-49,GBR,1267,2012,02:54:45,10485,2023,F
90,Lam - moores,Chloe,18-39,GBR,1025,2025,02:54:50,10490,2023,F
91,Landheim,Hilde,18-39,NOR,42648,2027,02:54:51,10491,2023,F
92,Burton,Flick,18-39,GBR,1578,2032,02:54:54,10494,2023,F
93,Hulme,Lorna,18-39,GBR,1656,2059,02:55:04,10504,2023,F
94,Pollack,Jillian,18-39,USA,2784,2060,02:55:04,10504,2023,F
95,Birkby,Faye,18-39,GBR,1003,2061,02:55:06,10506,2023,F
96,Sceales,Helen,18-39,GBR,1309,2070,02:55:10,10510,2023,F
97,Coulon,Carole,45-49,FRA,1429,2072,02:55:13,10513,2023,F
98,Scott,Alice,18-39,GBR,1859,2083,02:55:18,10518,2023,F
99,Swinhoe,Sarah,50-54,GBR,42851,2095,02:55:23,10523,2023,F
