,Last Name,First Name,Division,Country,BIB,Overall Place,Time,Seconds,Year,Gender
0,Flanagan,Shalane,40-44,GBR,50203,190,02:35:04,9304,2021,F
1,Richardson,Chloe,18-39,GBR,220,246,02:37:08,9428,2021,F
2,Webster,Sarah,40-44,GBR,431,450,02:41:24,9684,2021,F
3,Wilkins,Melanie,18-39,GBR,394,474,02:41:49,9709,2021,F
4,Ridgway,Katelyn,18-39,GBR,35990,510,02:42:30,9750,2021,F
5,Styles,Emma,18-39,GBR,326,515,02:42:35,9755,2021,F
6,Thomas,Laura,18-39,GBR,209,702,02:46:16,9976,2021,F
7,O’regan,Johanna,18-39,GBR,574,734,02:46:50,10010,2021,F
8,Taylor,Emma,18-39,GBR,608,758,02:47:11,10031,2021,F
9,Charles-Barclay,LUCY,18-39,GBR,50163,804,02:47:53,10073,2021,F
10,Rush,Holly,40-44,GBR,202,817,02:48:04,10084,2021,F
11,Woolaston,Abigail,18-39,GBR,544,823,02:48:09,10089,2021,F
12,London,Suzanne,18-39,USA,649,837,02:48:18,10098,2021,F
13,Nic fhogartaigh,Caoimhe,40-44,GBR,569,849,02:48:25,10105,2021,F
14,King,Katie,18-39,GBR,519,857,02:48:30,10110,2021,F
15,Lord,Hannah,18-39,GBR,412,870,02:48:36,10116,2021,F
16,Birch,Annie,18-39,GBR,600,882,02:48:42,10122,2021,F
17,Hillier-moses,Gemma,18-39,GBR,255,939,02:49:26,10166,2021,F
18,Moll,Angela,40-44,USA,57510,944,02:49:29,10169,2021,F
19,Beckett,Mabel,18-39,GBR,287,947,02:49:30,10170,2021,F
20,Gabb,Ania,18-39,GBR,355,975,02:49:48,10188,2021,F
21,Granger,Annabel,45-49,GBR,215,977,02:49:48,10188,2021,F
22,Cooper,Lauren,18-39,GBR,501,979,02:49:49,10189,2021,F
23,Fouhy,Vicky,18-39,GBR,27371,983,02:49:51,10191,2021,F
24,Grima,Claire,40-44,GBR,296,1025,02:50:30,10230,2021,F
25,Mapp,Lucy,18-39,GBR,729,1052,02:50:46,10246,2021,F
26,Cavey,Kali,18-39,USA,34852,1059,02:50:54,10254,2021,F
27,Howells,Sioned,18-39,GBR,568,1061,02:50:57,10257,2021,F
28,Mccall,Steph,18-39,GBR,330,1099,02:51:23,10283,2021,F
29,Mcdonald,Susan,50-54,GBR,242,1104,02:51:27,10287,2021,F
30,Kruger,Sarah,18-39,USA,660,1111,02:51:33,10293,2021,F
31,Mcewing,Alison,18-39,GBR,271,1135,02:51:47,10307,2021,F
32,Mcgrevey,Jenna,18-39,GBR,310,1159,02:52:01,10321,2021,F
33,Thackray,Alice,18-39,GBR,221,1179,02:52:15,10335,2021,F
34,Pena,Carolina,45-49,CHI,57481,1243,02:52:55,10375,2021,F
35,Maddox,Sharada,18-39,USA,48769,1260,02:53:07,10387,2021,F
36,Green,Nicole,18-39,GBR,26699,1268,02:53:18,10398,2021,F
37,Jackson,Hazel,18-39,GBR,614,1288,02:53:26,10406,2021,F
38,Hall,Rachel,18-39,GBR,400,1301,02:53:35,10415,2021,F
39,Hunter,Sarah,18-39,GBR,533,1304,02:53:36,10416,2021,F
40,Saunders,Jessica,18-39,GBR,598,1310,02:53:39,10419,2021,F
41,Mccrory,Gillian,40-44,GBR,717,1314,02:53:41,10421,2021,F
42,Lewis,Susan,45-49,GBR,487,1381,02:54:24,10464,2021,F
43,Marques,Mariana,18-39,POR,25563,1393,02:54:28,10468,2021,F
44,Williams,Victoria,18-39,GBR,664,1403,02:54:32,10472,2021,F
45,Gurney,Sarah,50-54,GBR,317,1426,02:54:43,10483,2021,F
46,Record,Helen,18-39,GBR,657,1435,02:54:49,10489,2021,F
47,Owen,Rachel,18-39,GBR,635,1442,02:54:52,10492,2021,F
48,Howard,Claire,50-54,GBR,361,1458,02:55:05,10505,2021,F
49,Mulvey,Rachael,18-39,GBR,492,1471,02:55:10,10510,2021,F
50,Mcguckin,Elaine,18-39,GBR,716,1476,02:55:15,10515,2021,F
51,Seymour,Natalie,18-39,GBR,616,1483,02:55:16,10516,2021,F
52,Wright,Vicky,40-44,GBR,436,1486,02:55:17,10517,2021,F
53,Morrall,Zelah,50-54,GBR,213,1488,02:55:18,10518,2021,F
54,Mcclelland,Alexandra,18-39,GBR,372,1489,02:55:18,10518,2021,F
55,Mare,Samantha,18-39,ZIM,651,1501,02:55:23,10523,2021,F
56,James-welsh,April,40-44,GBR,445,1539,02:55:47,10547,2021,F
57,Bjurström,Lisa,18-39,SWE,54237,1545,02:55:51,10551,2021,F
58,Hanson,Charlie,18-39,GBR,636,1590,02:56:12,10572,2021,F
59,Cowell-jones,Zoe,40-44,GBR,562,1613,02:56:22,10582,2021,F
60,Harrison,Rebecca,40-44,GBR,719,1621,02:56:27,10587,2021,F
61,Marchant,Emily,18-39,GBR,27235,1640,02:56:36,10596,2021,F
62,Dimond,Elizabeth,18-39,GBR,681,1641,02:56:37,10597,2021,F
63,Robbins,Louisa,18-39,GBR,24334,1670,02:56:52,10612,2021,F
64,Moore,Fenella,18-39,GBR,24180,1677,02:56:55,10615,2021,F
65,Warrack,Polly,18-39,GBR,378,1687,02:56:59,10619,2021,F
66,Baker,Chelsea,18-39,GBR,534,1704,02:57:11,10631,2021,F
67,Wasniewska,Karolina,40-44,POL,53240,1723,02:57:16,10636,2021,F
68,Wiley,Georgina,18-39,GBR,573,1738,02:57:23,10643,2021,F
69,Burns,Natalie,18-39,GBR,208,1740,02:57:23,10643,2021,F
70,Freeman,Emily,18-39,GBR,653,1754,02:57:29,10649,2021,F
71,Charlton,Catherine,40-44,GBR,235,1777,02:57:37,10657,2021,F
72,Baddick,Vicky,18-39,GBR,491,1779,02:57:39,10659,2021,F
73,Surilov,Lena,40-44,USA,634,1781,02:57:39,10659,2021,F
74,Monks,Ellie,18-39,GBR,358,1800,02:57:48,10668,2021,F
75,Woodyard,Nikki,40-44,GBR,239,1811,02:57:52,10672,2021,F
76,Thomas,Claire,18-39,GBR,442,1817,02:57:54,10674,2021,F
77,Lawson,Victoria,18-39,GBR,656,1821,02:57:55,10675,2021,F
78,Yamin morales,María regina henriette,55-59,MEX,57208,1825,02:57:56,10676,2021,F
79,Fraser,Catriona,18-39,GBR,705,1836,02:58:02,10682,2021,F
80,Paterson,Catriona,18-39,GBR,527,1837,02:58:02,10682,2021,F
81,Dasler,Marie,50-54,SWE,57282,1841,02:58:04,10684,2021,F
82,Ragan,Charlotte,18-39,GBR,374,1864,02:58:17,10697,2021,F
83,Neesam,Kay,50-54,GBR,247,1868,02:58:18,10698,2021,F
84,Blackmore,Allison,55-59,CAN,57018,1877,02:58:22,10702,2021,F
85,Young,Lorna,18-39,GBR,718,1884,02:58:26,10706,2021,F
86,Boswell,Rachel,18-39,GBR,375,1888,02:58:27,10707,2021,F
87,Dicks,Kelly,18-39,GBR,411,1917,02:58:41,10721,2021,F
88,Warrington,Caroline,40-44,GBR,199,1919,02:58:43,10723,2021,F
89,Harris,Karima,50-54,GBR,621,1937,02:58:51,10731,2021,F
90,Haagen,Inez-anne,55-59,NED,53314,1940,02:58:53,10733,2021,F
91,Makaronidis,Janine,18-39,GBR,628,1957,02:59:00,10740,2021,F
92,Theisen,Anne,45-49,USA,57354,1981,02:59:11,10751,2021,F
93,Trimble,Laura,18-39,GBR,377,1994,02:59:15,10755,2021,F
94,Pearse,Abbie,18-39,GBR,26422,1995,02:59:15,10755,2021,F
95,Ratcliffe,Victoria,45-49,GBR,500,2008,02:59:21,10761,2021,F
96,Colman,Lindsey,40-44,GBR,387,2017,02:59:24,10764,2021,F
97,Klein,Iris,45-49,GBR,57613,2050,02:59:36,10776,2021,F
98,Pullen,Hannah,18-39,GBR,567,2080,02:59:47,10787,2021,F
99,Stretton,Jackie,18-39,GBR,499,2090,02:59:51,10791,2021,F
