"Last Name, First Name",Time,OverAll,Sex Place,DIV,Net Time,"City, State, Country"
Evans Rutto (M25),2:05:50,1,1 / 1,M25-29,2:05:50,Kenya
Paul Koech (M34),2:07:07,2,2 / 1,M30-34,2:07:07,Kenya
Daniel Njenga (M27),2:07:41,3,3 / 2,M25-29,2:07:41,Kenya
Jimmy Muindi (M30),2:08:57,5,5 / 2,M30-34,2:08:57,Kenya
Abdelkader El Mouaziz (M34),2:09:38,6,6 / 3,M30-34,2:09:38,Morocco
MEB KEFLEZIGHI (M28),2:10:03,7,7 / 3,M25-29,2:10:03,"Mamoth Lakes, CA, USA"
Hendrik Ramaala (M31),2:10:55,8,8 / 4,M30-34,2:10:55,Russia
Sisay Bezabeh (M26),2:11:08,9,9 / 4,M25-29,2:11:08,"Tampa, FL, USA"
Josephat Kiprono (M29),2:11:30,10,10 / 5,M25-29,2:11:30,Kenya
Alirio Carrasco (M27),2:12:09,11,11 / 6,M25-29,2:12:08,"Tampa, FL, USA"
Joseph Ngolepus (M28),2:14:23,12,12 / 7,M25-29,2:14:21,Kenya
Ben Kimondiu (M25),2:15:10,13,13 / 8,M25-29,2:15:09,"Royersford, PA, USA"
Todd Reeser (M29),2:15:11,14,14 / 9,M25-29,2:15:11,"Rochester, NY, USA"
Peter Githuka (M34),2:15:23,15,15 / 5,M30-34,2:15:22,"Royersford, PA, USA"
Mark Steinle (M28),2:15:41,16,16 / 10,M25-29,2:15:41,"London, ENGLAND, GBR"
Jeff Schiebler (M30),2:17:22,17,17 / 6,M30-34,2:17:21,"Gray, TN, USA"
Peter Gilmore (M26),2:17:33,18,18 / 11,M25-29,2:17:32,"Menlo Park, CA, USA"
Jason Lehmkuhle (M26),2:18:24,20,20 / 12,M25-29,2:18:22,"St. Paul, MN, USA"
Ruben Garcia Gomez (M32),2:18:34,21,21 / 7,M30-34,2:18:32,"Col. Anahuac, Mexico"
Peter Clusener (M26),2:19:31,22,22 / 13,M25-29,2:19:29,"Arcata, CA, USA"
Josh Cox (M28),2:19:35,23,23 / 14,M25-29,2:19:33,"El Cajon, CA, USA"
Dan Browne (M28),2:19:37,24,24 / 15,M25-29,2:19:35,"Portland, OR, USA"
Steven Moreno (M26),2:19:44,25,25 / 16,M25-29,2:19:43,"Oakland, CA, USA"
Haron Toroitich (M25),2:19:46,26,26 / 17,M25-29,2:19:45,"Brescia, ITALY, Kenya"
Jose Ramon Torres Peanilla (M39),2:19:56,27,27 / 1,M35-39,2:19:54,"Burgos, BURGOS, Spain"
Brian Sell (M25),2:20:01,28,28 / 18,M25-29,2:19:57,"Utica, MI, USA"
Paul Kiru (M23),2:20:05,29,29 / 1,M20-24,2:20:03,Kenya
Kevin Taylor (M28),2:20:18,30,30 / 19,M25-29,2:20:17,"Raleigh, NC, USA"
Tom McGlynn (M31),2:20:42,32,32 / 8,M30-34,2:20:40,"Burlingame, CA, USA"
Nick Gramsky (M25),2:20:46,33,33 / 20,M25-29,2:20:46,"Mclean, VA, USA"
Alekandrs Prokopcuka (M27),2:21:08,34,34 / 21,M25-29,2:21:07,"Riga, Latvia"
Trent Briney (M25),2:21:10,35,35 / 22,M25-29,2:21:09,"Utica, MI, USA"
Ben Noad (M27),2:21:19,36,36 / 23,M25-29,2:21:18,GBR
