"Last Name, First Name",Time,OverAll,Sex Place,DIV,Net Time,"City, State, Country"
Matthew Marcini (M27),2:21:25,37,37 / 24,M25-29,2:21:22,"York, PA, USA"
Rod DeHaven (M37),2:21:34,38,38 / 2,M35-39,2:21:33,"Madison, WI, USA"
Mark Manz (M30),2:21:43,39,39 / 9,M30-34,2:21:36,"Kiel, WI, USA"
Edmund Burke (M34),2:21:53,40,40 / 10,M30-34,2:21:46,"Burtonville, MD, USA"
Terrance Shea (M29),2:21:54,41,41 / 25,M25-29,2:21:51,"Somerville, MA, USA"
Paul Aufdemberge (M38),2:21:55,42,42 / 3,M35-39,2:21:53,"Redford, MI, USA"
Ben Rosario (M23),2:22:01,43,43 / 2,M20-24,2:21:58,"Utica, MI, USA"
Edward Callinan (M29),2:22:05,44,44 / 26,M25-29,2:22:03,"Cherry Hill, NJ, USA"
Michael Cox (M28),2:22:06,45,45 / 27,M25-29,2:22:04,"Princeton, WV, USA"
Jason Ryf (M32),2:22:24,46,46 / 11,M30-34,2:22:15,"Oshkosh, WI, USA"
Adam Wallace (M23),2:22:27,47,47 / 3,M20-24,2:22:22,"Madison, WI, USA"
James Lander (M24),2:22:41,48,48 / 4,M20-24,2:22:37,"Utica, MI, USA"
Mike Fox (M24),2:22:47,49,49 / 5,M20-24,2:22:43,"Utica, MI, USA"
Matthew Byrne (M28),2:23:07,50,50 / 28,M25-29,2:23:06,"Philadelphia, PA, USA"
Svetlana Zakharova (F33),2:23:07,51,1 / 1,F30-34,2:23:07,Russia
Misgina Kifleyesus (M29),2:23:34,52,51 / 29,M25-29,2:23:27,"Kansas City, MO, USA"
Constantina Tomescu-Dita (F33),2:23:35,53,2 / 2,F30-34,2:23:35,Romania
Matt Smith (M29),2:23:50,54,52 / 30,M25-29,2:23:48,"Holland, MI, USA"
Matt Smith (M28),2:23:49,55,53 / 31,M25-29,2:23:48,GBR
Harry Stants (M30),2:24:18,56,54 / 12,M30-34,2:24:09,"Boston, MA, USA"
Matt Pelletier (M24),2:24:20,57,55 / 6,M20-24,2:24:18,"Warwick, RI, USA"
Dave Halferty (M35),2:24:25,58,56 / 4,M35-39,2:24:23,"Topeka, KS, USA"
Shaun Creighton (M36),2:24:27,59,57 / 5,M35-39,2:24:25,"Gray, TN, USA"
Malcolm Campbell (M32),2:24:49,60,58 / 13,M30-34,2:24:48,"Marietta, GA, USA"
Jelena Prokopcuka (F27),2:24:53,61,3 / 1,F25-29,2:24:53,Latvia
Jamie Rodriguez (M23),2:25:02,62,59 / 7,M20-24,2:24:54,"Albany, NY, USA"
Albina Ivanova (F26),2:25:35,63,4 / 2,F25-29,2:25:35,Russia
Will Kimball (M39),2:25:55,64,60 / 6,M35-39,2:25:50,"Anchorage, AK, USA"
Jeremy Polson (M25),2:25:57,65,61 / 32,M25-29,2:25:52,"Duluth, MN, USA"
Bret Kimple (M34),2:26:00,66,62 / 14,M30-34,2:25:58,"Tiffin, OH, USA"
Arnie Schraeder (M38),2:26:16,67,63 / 7,M35-39,2:26:10,"Wisconsin Rapids, WI, USA"
Tyler Small (M28),2:26:21,68,64 / 33,M25-29,2:26:17,"St. Louis, MO, USA"
Grazyna Syrek (F31),2:26:22,69,5 / 3,F30-34,2:26:22,Poland
Neil Holm (M37),2:26:30,70,65 / 8,M35-39,2:26:25,"Courtenay, BC, Canada"
Alan Black (M29),2:26:41,71,66 / 34,M25-29,2:26:26,"Eatonton, GA, USA"
Zbyszek Nadolski (M36),2:26:26,72,67 / 9,M35-39,2:26:26,Poland
Jason Effmann (M27),2:26:43,73,68 / 35,M25-29,2:26:39,"Portland, OR, USA"
Daniel Mayer (M31),2:26:53,74,69 / 15,M30-34,2:26:51,"Wheaton, IL, USA"
Justin Young (M24),2:26:56,75,70 / 8,M20-24,2:26:54,"Boulder, CO, USA"
James Scott (M31),2:27:08,76,71 / 16,M30-34,2:27:01,"Bowling Green, KY, USA"
Bryan Poerner (M27),2:27:04,77,72 / 36,M25-29,2:27:02,"Philadelphia, PA, USA"
Christopher Zieman (M31),2:27:15,78,73 / 17,M30-34,2:27:05,"Felton, CA, USA"
Jay Johns (M28),2:27:43,79,74 / 37,M25-29,2:27:41,"Blacksburg, VA, USA"
Richard Roberts (M22),2:27:45,80,75 / 9,M20-24,2:27:44,"Mansfield, OH, USA"
Malgorzata Sobanska (F34),2:27:50,81,6 / 4,F30-34,2:27:50,Poland
Colleen De Reuck (F39),2:28:01,82,7 / 1,F35-39,2:28:01,"Boulder, CO, USA"
Wilson Perez (M25),2:28:04,83,76 / 38,M25-29,2:28:03,"Keene, NH, USA"
Eric Lavigne (M27),2:28:10,84,77 / 39,M25-29,2:28:07,"Ashburn, VA, USA"
Chester Kurtz (M29),2:28:25,85,78 / 40,M25-29,2:28:17,"Boulder, CO, USA"
Carlos Martins (M34),2:28:23,86,79 / 18,M30-34,2:28:17,"Kearny, NJ, USA"
Matt Gerard (M31),2:28:40,87,80 / 19,M30-34,2:28:32,"Kalamazoo, MI, USA"
Patrick Callahan (M30),2:28:35,88,81 / 20,M30-34,2:28:32,"Boston, MA, USA"
Madina Biktagirova (F39),2:28:33,89,8 / 2,F35-39,2:28:33,"Sochi-City, Russia"
Enrique Henriquez (M25),2:29:00,90,82 / 41,M25-29,2:28:52,"San Leandro, CA, USA"
John Supsic (M24),2:28:53,91,83 / 10,M20-24,2:28:53,"Baltimore, MD, USA"
Teddy Mitchell (M31),2:28:58,92,84 / 21,M30-34,2:28:57,"Chicago, IL, USA"
Nuta Olaru (F33),2:29:00,93,9 / 5,F30-34,2:29:00,Romania
Deeja Youngquist (F26),2:29:01,94,10 / 3,F25-29,2:29:01,"Albuquerque, NM, USA"
Damien Angus (M29),2:29:14,95,85 / 42,M25-29,2:29:06,"New York, NY, USA"
Mark Hamiter (M28),2:29:15,96,86 / 43,M25-29,2:29:08,"Plain Dealing, LA, USA"
James Hamilton (M34),2:29:12,97,87 / 22,M30-34,2:29:10,"Aliquippa, PA, USA"
Klaus Eckstein (M36),2:29:16,98,88 / 10,M35-39,2:29:11,"Nordhorn, Germany"
Elliott Frieder (M32),2:29:18,99,89 / 23,M30-34,2:29:12,"Bloomfield, NJ, USA"
Rob Zand (M33),2:29:29,100,90 / 24,M30-34,2:29:22,"New York, NY, USA"
