"Last Name, First Name",Time,OverAll,Sex Place,DIV,Net Time,"City, State, Country"
Adam White (M30),2:24:42,83,78 / 17,M30-34,2:24:42,"Peoria, IL, USA"
Steve Sinko (M30),2:24:43,84,79 / 18,M30-34,2:24:43,"Hockessin, DE, USA"
Kevin E Pool (M23),2:24:44,85,80 / 13,M20-24,2:24:44,"New Windsor, MD, USA"
Judson Cake (M28),2:24:45,86,81 / 44,M25-29,2:24:45,"Blowing Rock, NC, USA"
James Akita (M26),2:24:50,87,82 / 45,M25-29,2:24:50,"Elmhurst, IL, USA"
Joshua D Banister (M32),2:25:35,88,83 / 19,M30-34,2:25:35,"Peoria, IL, USA"
Nuta Olaru (F36),2:25:37,89,6 / 2,F35-39,2:25:37,ROMANIA
Hiromi Ominami (F30),2:26:04,90,7 / 2,F30-34,2:26:04,JAPAN
Adam Fitzgerald (M25),2:26:16,91,84 / 46,M25-29,2:26:16,"Carlisle, MA, USA"
Pablo Gardiol (M26),2:26:29,92,85 / 47,M25-29,2:26:29,"Montevideo, URUGUAY"
Stephen C Donahue (M29),2:26:30,93,86 / 48,M25-29,2:26:30,"San Francisco, CA, USA"
Matthew Brenner (M25),2:26:33,94,87 / 49,M25-29,2:26:33,"Rockford, IL, USA"
Michael Bresson (M35),2:26:35,95,88 / 7,M35-39,2:26:35,"Spokane, WA, USA"
Hans Otten (M28),2:26:36,96,89 / 50,M25-29,2:26:36,"Shoreline, WA, USA"
David Jackson (M30),2:26:40,97,90 / 20,M30-34,2:26:40,"Victoria, CANADA"
Bill Hoffman (M26),2:26:42,98,91 / 51,M25-29,2:26:42,"Eatontown, NJ, USA"
Matt Smith (M32),2:26:45,99,92 / 21,M30-34,2:26:45,"Holland, MI, USA"
Calvin Staples (M29),2:26:49,100,93 / 52,M25-29,2:26:49,"Waterloo, CANADA"
