Name,Gender,Age,Country,BIB,Overall Place,Time
Wilson Kipsang,M,32,KEN,2,1,2:10:59
Lelisa Desisa Benti,M,24,ETH,4,2,2:11:06
Gebre Gebremariam,M,30,ETH,7,3,2:12:13
Meb Keflezighi,M,39,USA,5,4,2:13:18
Stephen Kiprotich,M,25,UGA,11,5,2:13:25
Geoffrey Mutai,M,33,KEN,1,6,2:13:44
Masato Imai,M,30,JPN,6,7,2:14:36
Peter Cheruiyot Kirui,M,26,KEN,8,8,2:14:51
Ryan Vail,M,28,USA,12,9,2:15:08
Nick Arciniaga,M,31,USA,15,10,2:15:39
Yuki Kawauchi,M,27,JPN,14,11,2:16:41
Lusapho April,M,32,RSA,3,12,2:16:50
Birhanu Dare Kemal,M,28,ETH,212,13,2:18:24
Micah Kogo,M,28,KEN,10,14,2:18:36
Danilo Goffi,M,41,ITA,40,15,2:19:44
Stephan Shay,M,28,USA,20,16,2:19:47
Michael Kipyego,M,31,KEN,9,17,2:20:00
Negash Abebe Duki,M,24,ETH,200,18,2:20:15
Harbert Okuti,M,29,UGA,34,19,2:22:34
Aron Rono,M,32,USA,36,20,2:23:30
Craig Hopkins,M,26,GBR,27,21,2:23:49
Zach Hine,M,27,USA,26,22,2:24:10
Lars Budolfsen,M,34,DEN,23,23,2:24:40
Teklu Tefera Deneke,M,35,ETH,29,24,2:25:07
Mary Keitany,W,32,KEN,104,25,2:25:07
Lee Troop,M,41,AUS,41,26,2:25:09
Jemima Sumgong,W,29,KEN,106,27,2:25:10
Alex Varner,M,29,USA,246,28,2:25:45
Gian Luca Borghesi,M,36,ITA,206,29,2:25:49
James Kelly,M,31,GBR,33,30,2:25:56
Sara Moreira,W,29,POR,116,31,2:26:00
Jelena Prokopcuka,W,38,LAT,103,32,2:26:15
Jerry Faulkner,M,33,USA,215,33,2:26:31
Nick End,M,30,USA,30,34,2:26:52
Oz Pearlman,M,32,USA,234,35,2:26:59
Craig Curley,M,26,USA,25,36,2:27:33
Denis Curzi,M,39,ITA,28,37,2:27:35
Frank Bollen,M,31,BEL,22,38,2:28:00
Nils Schallner,M,34,GER,239,39,2:28:06
Desiree Linden,W,31,USA,109,40,2:28:11
Firehiwot Dado,W,30,ETH,108,41,2:28:36
Luke Puskedra,M,24,USA,17,42,2:28:54
Nelson Cruz,M,36,POR,1028,43,2:29:19
Valeria Straneo,W,38,ITA,107,44,2:29:24
Jaakko Nieminen,M,27,FIN,296,45,2:29:29
Chris Siemers,M,33,USA,32,46,2:30:04
Max Haines-Stiles,M,28,USA,217,47,2:30:31
Abel Villanueva Taipe,M,32,PER,38,48,2:30:33
Sebastien Bazeille,M,33,FRA,1179,49,2:30:34
Martin Kjall-Ohlsson,M,36,SWE,221,50,2:30:56
Roman Weger,M,40,AUT,47,51,2:31:11
Buzunesh Deba,W,27,ETH,102,52,2:31:40
Ben Leese,M,34,GBR,225,53,2:31:52
Claes Bengtsson,M,31,SWE,204,54,2:31:57
Ole Kristian Heggheim,M,42,NOR,218,55,2:32:13
Urige Buta,M,35,NOR,18,56,2:32:13
José Gaspar,M,37,POR,1048,57,2:32:42
Oscar Martin Perez,M,32,ESP,1161,58,2:33:01
Annie Bersagel,W,31,USA,115,59,2:33:02
Billy Demong,M,34,USA,1828,60,2:33:05
Deena Kastor,W,41,USA,110,61,2:33:18
Tim Clarke,M,32,AUS,1151,62,2:33:23
Antonello Landi,M,39,ITA,1059,63,2:33:29
Jeff Ares,M,30,USA,243,64,2:33:29
Greg Cass,M,30,USA,208,65,2:33:41
Hermann Achmueller,M,43,ITA,201,66,2:34:05
Philippe Rolly,M,42,USA,45,67,2:34:32
Joseph Darda,M,27,USA,211,68,2:34:53
Phillip Falk,M,30,USA,213,69,2:34:53
Jeffrey Stein,M,28,USA,1346,70,2:35:03
Patrick Hearn,M,24,USA,1349,71,2:35:28
Teddy Bezancon,M,31,FRA,1199,72,2:35:28
William Vanos,M,42,USA,245,73,2:35:30
Ana Dulce Felix,W,32,POR,112,74,2:35:33
Sam Krieg,M,38,USA,1829,75,2:36:00
Jeff Bailey,M,29,USA,202,76,2:36:00
Brett Coleman,M,40,AUS,1120,77,2:36:23
Sebastien Charnay,M,37,FRA,210,78,2:36:23
Edna Kiplagat,W,34,KEN,105,79,2:36:24
Lars Martin Steen,M,31,NOR,1401,80,2:36:27
Mac Schneider,M,26,USA,1456,81,2:36:38
Alister Gardner,M,33,CAN,1248,82,2:36:47
Bryan Kovalsky,M,35,USA,222,83,2:36:51
Kyle Sousa,M,28,USA,1520,84,2:36:52
Bryan Sharkey,M,27,USA,241,85,2:36:55
Hector Rivera,M,43,USA,237,86,2:37:03
Kara Goucher,W,36,USA,111,87,2:37:03
Benjamin Ludovici,M,26,USA,1091,88,2:37:20
Emiliano Garcia,M,31,MEX,829,89,2:37:43
Christian Dirscherl,M,34,GER,214,90,2:37:49
Antoine Rondot,M,29,FRA,238,91,2:37:56
Jose Ruiz Tagle,M,28,CHI,1115,92,2:38:00
Bjarke Kobberoe,M,35,DEN,1167,93,2:38:03
Alejandro Troncoso,M,26,USA,242,94,2:38:03
Piergiorgio Conti,M,44,ITA,96,95,2:38:05
Carlos Cardoso,M,32,POR,1827,96,2:38:22
Aaron Beaber,M,31,USA,1450,97,2:38:29
Marcel Tschopp,M,40,LIE,244,98,2:38:32
Tom Fairbrother,M,26,GBR,1138,99,2:38:46
Paul Jacobs,M,36,USA,1284,100,2:38:50
Finn Kollstad,M,39,NOR,1196,101,2:38:51
Amado Tlatempa,M,34,USA,789,102,2:38:51
Mathew Weissinger,M,27,USA,1100,103,2:38:51
Daniel Robinson,M,34,GBR,1206,104,2:38:54
Hugh Parker,M,24,USA,233,105,2:38:57
Abd Amare,M,32,GBR,1134,106,2:39:08
Lauren Kleppin,W,25,USA,114,107,2:39:13
Adam Mulia,M,38,USA,718,108,2:39:14
Peter Hanson,M,34,USA,1262,109,2:39:21
Nicholas Browne,M,34,NZL,1155,110,2:39:26
Carlos Gonzalez servian,M,23,PAR,1147,111,2:39:26
Tim Seeley,M,29,USA,240,112,2:39:27
Johan Yvalun,M,31,FRA,1326,113,2:39:32
Jordan Tropf,M,22,USA,1210,114,2:39:38
Matt Dahl,M,27,USA,1387,115,2:39:39
Liam Harrison,M,35,USA,652,116,2:39:43
Alia Gray,W,25,USA,126,117,2:39:43
Jyrki Ruohomaki,M,39,FIN,751,118,2:39:48
Rob Nachtwey,M,37,USA,1395,119,2:39:49
Chris Raulli,M,26,USA,235,120,2:39:54
Ruotte Anthony,M,38,FRA,1220,121,2:39:55
Julio Sauce,M,42,ECU,758,122,2:39:57
Anders Christensen,M,33,DEN,1430,123,2:39:57
Marci Gage,W,27,USA,120,124,2:40:00
Nikolaj Mikkelsen,M,41,DEN,1521,125,2:40:06
David Dixon,M,22,USA,1070,126,2:40:15
Miguel Dones,M,39,USA,1043,127,2:40:26
David Gibson,M,31,AUS,1397,128,2:40:26
Sean Egan,M,29,USA,607,129,2:40:31
Carlo Agostinetto,M,34,ITA,822,130,2:40:44
Hilary Dionne,W,29,USA,121,131,2:40:54
Stephane Deleurme,M,38,FRA,1294,132,2:40:56
Patrick Cote,M,29,CAN,1423,133,2:41:04
Matthew Reisenauer,M,26,USA,1381,134,2:41:07
Nick Roberts,M,30,AUS,1451,135,2:41:08
Astrel Clovis,M,44,USA,1867,136,2:41:20
David Nightingale,M,28,USA,232,137,2:41:25
Richard Skilling,M,48,GBR,2322,138,2:41:26
David Roeske,M,33,USA,748,139,2:41:30
Jamie Stroffolino,M,29,USA,1518,140,2:41:31
Matthew Gibson,M,31,AUS,1429,141,2:41:32
Danilo Osimani,M,32,ITA,1338,142,2:41:41
Antonio Giardiello,M,32,ITA,1185,143,2:41:54
Michael Stadolnik,M,41,USA,1409,144,2:41:59
Ben Evans,M,35,GBR,1247,145,2:42:03
Peter Mackrell,M,32,USA,1463,146,2:42:04
Matt Leduc,M,33,CAN,1071,147,2:42:09
Jan Daems,M,44,BEL,1187,148,2:42:12
Diego Vanegas,M,39,USA,1843,149,2:42:13
Lawrence Avery,M,33,GBR,1531,150,2:42:18
Sam Harper,M,28,GBR,1486,151,2:42:22
Eddy Bossier,M,50,BEL,207,152,2:42:29
Trygve Andresen,M,35,NOR,1418,153,2:42:32
