Last Name,First Name,Division,Country,BIB,Overall Place,Time,Seconds,Year,Gender
Hellen,Obiri,30-34,KEN,103,29,2:27:23,8843,2023,W
Letesenbet,Gidey,25-29,ETH,105,30,2:27:29,8849,2023,W
Sharon,Lokedi,25-29,KEN,101,32,2:27:33,8853,2023,W
Brigid,Kosgei,25-29,KEN,104,36,2:27:45,8865,2023,W
Mary,Ngugi,30-34,KEN,107,37,2:27:53,8873,2023,W
Viola,Cheptoo,30-34,KEN,106,39,2:28:11,8891,2023,W
Edna,Kiplagat,40-44,KEN,110,47,2:29:40,8980,2023,W
Kellyn,Taylor,35-39,USA,108,50,2:29:48,8988,2023,W
Molly,Huddle,35-39,USA,109,68,2:32:02,9122,2023,W
Fantu Zewude,Jifar,25-29,ETH,112,82,2:34:10,9250,2023,W
Solange,Jesus,35-39,POR,111,90,2:34:37,9277,2023,W
Sydney,Devore,30-34,USA,114,106,2:36:01,9361,2023,W
Marie-Ange,Brumelot,30-34,FRA,115,175,2:40:22,9622,2023,W
Ivana,Iozzia,50-54,ITA,1374,191,2:41:16,9676,2023,W
Meriah,Earle,45-49,USA,116,254,2:44:11,9851,2023,W
Joelle,Flueck,35-39,SUI,1293,318,2:45:40,9940,2023,W
Kate,Gustafson,35-39,CAN,576,346,2:46:15,9975,2023,W
Laurie,Knowles,45-49,USA,561,374,2:47:02,10022,2023,W
Astrid,Roberts,45-49,AUS,3008,377,2:47:05,10025,2023,W
Francoise,Parage,35-39,FRA,560,398,2:47:36,10056,2023,W
Kathryn,Parkinson,40-44,AUS,1559,400,2:47:37,10057,2023,W
Sarah,Tully,20-24,USA,566,432,2:48:17,10097,2023,W
Alosha,Southern,25-29,USA,582,447,2:48:38,10118,2023,W
Waverly,Neer,30-34,USA,1536,606,2:51:34,10294,2023,W
Joy,Jiang,25-29,USA,583,624,2:51:57,10317,2023,W
Sadie,James,25-29,USA,596,641,2:52:13,10333,2023,W
Mary Kate,Randolph,25-29,USA,640,648,2:52:18,10338,2023,W
Emily,Royston,25-29,USA,611,657,2:52:23,10343,2023,W
Laura Nayeli Palomino,Cardoso,30-34,MEX,567,662,2:52:30,10350,2023,W
Lauren,Dorsky,25-29,USA,563,694,2:53:05,10385,2023,W
Janessa,Dunn,30-34,USA,578,708,2:53:14,10394,2023,W
Katarzyna,Raczkiewicz,45-49,POL,564,724,2:53:29,10409,2023,W
Denise,Ibarra,25-29,USA,1372,729,2:53:31,10411,2023,W
Susan,McDonald,55-59,GBR,2236,806,2:54:36,10476,2023,W
Nicole,Wood,30-34,PAR,5244,815,2:54:42,10482,2023,W
Annelise,Gill-Wiehl,25-29,USA,4706,840,2:54:59,10499,2023,W
Natasha,Bliss,40-44,USA,556,851,2:55:13,10513,2023,W
Rachel,Mitchell,30-34,USA,4442,855,2:55:18,10518,2023,W
Teresa,Escobar,35-39,USA,591,863,2:55:23,10523,2023,W
Kristin,Lunghamer,30-34,USA,896,880,2:55:33,10533,2023,W
Gabrielle,Yatauro,25-29,USA,555,885,2:55:35,10535,2023,W
Dara Lynn,Filut,40-44,USA,2685,886,2:55:35,10535,2023,W
Alexandra,Conway,30-34,USA,608,894,2:55:39,10539,2023,W
Dira,Hansen,30-34,USA,2738,898,2:55:43,10543,2023,W
Ashley,Cheff,25-29,USA,6846,902,2:55:46,10546,2023,W
Chandi,Moore,35-39,USA,4868,917,2:56:01,10561,2023,W
Khia,Kurtenbach,25-29,USA,607,918,2:56:02,10562,2023,W
Francesca,Muliawan,35-39,USA,573,919,2:56:02,10562,2023,W
Grace,Heymsfield,30-34,USA,585,936,2:56:17,10577,2023,W
Veronique,Ranger,35-39,CAN,5799,956,2:56:29,10589,2023,W
Melina,Terranova,35-39,USA,1012,985,2:56:47,10607,2023,W
Rachel,Bowick,25-29,CAN,581,"1,018",2:57:06,10626,2023,W
Paulina Plasencia,Cruz,30-34,MEX,2311,"1,019",2:57:07,10627,2023,W
Abigail,Shoemaker,20-24,USA,984,"1,021",2:57:08,10628,2023,W
Lucy,Brash,35-39,GBR,1884,"1,040",2:57:21,10641,2023,W
Taeya Konishi,Schogel,40-44,PER,866,"1,043",2:57:23,10643,2023,W
Mariana,Chavero,25-29,MEX,5396,"1,048",2:57:25,10645,2023,W
Elizabeth,Wasserman,25-29,USA,610,"1,053",2:57:27,10647,2023,W
Jacqueline,Kehoe,35-39,USA,861,"1,064",2:57:38,10658,2023,W
Andrea Corazzari,Ugalde,40-44,CRC,4094,"1,090",2:57:59,10679,2023,W
Katarina,Mayer,25-29,CAN,905,"1,099",2:58:05,10685,2023,W
Kristy,Malley,25-29,USA,1095,"1,129",2:58:21,10701,2023,W
Laurel,Buchanan,25-29,CAN,4022,"1,134",2:58:23,10703,2023,W
Kai,Bohannon,20-24,USA,6767,"1,135",2:58:23,10703,2023,W
Rebecca,Considine,25-29,USA,5421,"1,136",2:58:23,10703,2023,W
Carolyn,Buchanan,25-29,CAN,4021,"1,139",2:58:25,10705,2023,W
Reilly,Whittaker,30-34,CAN,5230,"1,143",2:58:26,10706,2023,W
Anna Hope,Emerson,25-29,CAN,770,"1,154",2:58:31,10711,2023,W
Hilde Losgard,Landheim,30-34,NOR,2802,"1,156",2:58:31,10711,2023,W
Rachel,Boswell,30-34,GBR,4005,"1,180",2:58:40,10720,2023,W
Markéta,Formánková,30-34,CZE,4694,"1,181",2:58:41,10721,2023,W
Melanie van,Soeren,30-34,CAN,4541,"1,198",2:58:50,10730,2023,W
Joanna Bourke,Martignoni,50-54,AUS,4008,"1,199",2:58:51,10731,2023,W
Kenaia,Neumann,25-29,USA,5740,"1,202",2:58:53,10733,2023,W
Mikelle,Coelho,30-34,BRA,4086,"1,205",2:58:55,10735,2023,W
Meghan,Kilkenny,25-29,USA,864,"1,209",2:58:57,10737,2023,W
Jo,Meek,45-49,GBR,604,"1,211",2:58:57,10737,2023,W
Lingqiao,Tang,30-34,CHN,605,"1,213",2:58:58,10738,2023,W
Aimee,Epps,30-34,USA,774,"1,219",2:59:01,10741,2023,W
Lauren,Perschetz,25-29,USA,942,"1,244",2:59:08,10748,2023,W
Mary,Harrington,25-29,USA,570,"1,246",2:59:09,10749,2023,W
Sarah,Czuprynski,30-34,USA,557,"1,298",2:59:31,10771,2023,W
Sarah,Davis,30-34,USA,4673,"1,312",2:59:36,10776,2023,W
Hidi,Gaff,40-44,USA,2018,"1,323",2:59:40,10780,2023,W
Natacha Morales,Paredes,35-39,CHI,9097,"1,331",2:59:44,10784,2023,W
Simone,Raatz,45-49,GER,2983,"1,338",2:59:48,10788,2023,W
Kelly De,Csepel,40-44,USA,753,"1,340",2:59:48,10788,2023,W
Eugenia,Peroni,35-39,PAR,3679,"1,345",2:59:49,10789,2023,W
Erika,Pastrana,45-49,USA,579,"1,375",2:59:59,10799,2023,W
Joelle,Reeves,35-39,GBR,960,"1,383",3:00:03,10803,2023,W
Liana-Alina,Boholtan,30-34,GBR,3997,"1,396",3:00:15,10815,2023,W
Sara,Chang,30-34,USA,1920,"1,410",3:00:22,10822,2023,W
Becky,Wright,30-34,GBR,574,"1,412",3:00:22,10822,2023,W
Ryan,Hughes,25-29,USA,6680,"1,419",3:00:25,10825,2023,W
Sarah,Winkler,25-29,USA,5239,"1,422",3:00:27,10827,2023,W
Vivien,Lim,50-54,USA,882,"1,423",3:00:28,10828,2023,W
Amanda,Gauthier,25-29,USA,799,"1,424",3:00:28,10828,2023,W
Erika,Harkinsova,30-34,USA,7572,"1,426",3:00:29,10829,2023,W
Hana,Baskin,35-39,USA,1856,"1,439",3:00:36,10836,2023,W
