Last Name,First Name,Division,Country,BIB,Overall Place,Time,Seconds,Year,Gender
Joyciline,Jepkosgei,25-29,KEN,106,31,2:22:38,8558,2019,F
Mary,Keitany,35-39,KEN,101,34,2:23:32,8612,2019,F
Ruti,Aga,25-29,ETH,103,39,2:25:51,8751,2019,F
Nancy,Kiprop,40-44,KEN,104,42,2:26:21,8781,2019,F
Sinead,Diver,40-44,AUS,107,43,2:26:23,8783,2019,F
Desiree,Linden,35-39,USA,105,47,2:26:46,8806,2019,F
Kellyn,Taylor,30-34,USA,108,48,2:26:52,8812,2019,F
Ellie,Pashley,30-34,AUS,112,50,2:27:07,8827,2019,F
Belaynesh,Fikadu,30-34,ETH,116,52,2:27:27,8847,2019,F
Mary,Ngugi,30-34,KEN,114,55,2:27:36,8856,2019,F
Gerda,Steyn,25-29,RSA,118,56,2:27:48,8868,2019,F
Aliphine,Tuliamuk,30-34,USA,113,62,2:28:12,8892,2019,F
Roberta,Groner,40-44,USA,117,74,2:30:12,9012,2019,F
Katy,Jermann,25-29,USA,122,81,2:31:55,9115,2019,F
Kate,Landau,40-44,USA,123,92,2:33:04,9184,2019,F
Yinli,He,30-34,CHN,115,117,2:34:43,9283,2019,F
Danna,Herrick,30-34,USA,121,130,2:36:00,9360,2019,F
Rebecca,Gentry,30-34,GBR,2818,141,2:37:01,9421,2019,F
Alia,Gray,30-34,USA,125,143,2:37:09,9429,2019,F
Bizuwork Getahun,Kasaye,30-34,ETH,126,154,2:37:38,9458,2019,F
Paula,Pridgen,30-34,USA,128,215,2:40:04,9604,2019,F
Bose Gemeda,Assefa,20-24,ETH,133,265,2:42:21,9741,2019,F
Lauren,Perkins,35-39,USA,130,315,2:43:40,9820,2019,F
Megan,Foster,40-44,USA,131,333,2:44:01,9841,2019,F
Ana,Johnson,35-39,USA,129,371,2:44:40,9880,2019,F
Kaitlin,Goodman,30-34,USA,119,394,2:45:27,9927,2019,F
Jennifer,Bigham,35-39,USA,134,443,2:46:43,10003,2019,F
Nesrine,Leene,35-39,LIB,4538,510,2:47:50,10070,2019,F
Margo,Malone,25-29,USA,127,514,2:47:52,10072,2019,F
Suzanne,London,35-39,USA,494,601,2:49:28,10168,2019,F
Lyndsey,Eastman,30-34,GBR,3034,619,2:49:47,10187,2019,F
Kamilla,Pontes,35-39,BRA,2351,646,2:50:09,10209,2019,F
Katka,Smolarova,30-34,USA,536,651,2:50:14,10214,2019,F
Alyssa,Barrette,30-34,USA,6360,654,2:50:18,10218,2019,F
Jenny,Hitchings,55-59,USA,509,681,2:50:36,10236,2019,F
Stevie,Kremer,35-39,USA,3312,720,2:51:21,10281,2019,F
Camille,Doom,25-29,USA,503,748,2:51:41,10301,2019,F
Laura,Comee,25-29,USA,3540,763,2:51:55,10315,2019,F
Maggie,Priebe,25-29,USA,8441,773,2:52:05,10325,2019,F
Mia,Morrison,30-34,RSA,524,774,2:52:06,10326,2019,F
Caitlin,Fahey,25-29,USA,506,797,2:52:34,10354,2019,F
Alice,Henley,30-34,USA,6293,804,2:52:38,10358,2019,F
Shannon,McCarthy,25-29,USA,3717,808,2:52:42,10362,2019,F
Brandy,LeClair,25-29,USA,517,816,2:52:47,10367,2019,F
Cecilia,Davis-Hayes,30-34,USA,498,853,2:53:21,10401,2019,F
Marie,O'Leary,25-29,USA,2768,858,2:53:27,10407,2019,F
Brooke,Bible,30-34,USA,3733,863,2:53:28,10408,2019,F
Beth,Reed,35-39,USA,531,919,2:54:09,10449,2019,F
Emily,Ullmann,25-29,USA,5841,921,2:54:16,10456,2019,F
Katherine,Gwyn,35-39,USA,3214,961,2:54:48,10488,2019,F
Kikkan,Randall,35-39,USA,10208,990,2:55:12,10512,2019,F
Margaret,McMahon,50-54,IRL,522,998,2:55:16,10516,2019,F
Christy,Lovig,40-44,CAN,521,"1,007",2:55:21,10521,2019,F
Khia,Kurtenbach,20-24,USA,516,"1,016",2:55:27,10527,2019,F
Liz,Stephen,30-34,USA,4314,"1,031",2:55:37,10537,2019,F
Meghan,Murphy,25-29,USA,7022,"1,067",2:55:56,10556,2019,F
Lauren,Dorsky,20-24,USA,750,"1,072",2:56:00,10560,2019,F
Emily,Goldsmith,25-29,USA,507,"1,074",2:56:01,10561,2019,F
Ellyn,Atkinson,20-24,USA,495,"1,098",2:56:15,10575,2019,F
Sarah,Kruger,25-29,USA,515,"1,107",2:56:25,10585,2019,F
Lena,Placzek,25-29,POL,529,"1,108",2:56:26,10586,2019,F
Carolyn,Yang,30-34,USA,542,"1,116",2:56:29,10589,2019,F
Michele,Palmer,35-39,USA,746,"1,115",2:56:29,10589,2019,F
Megan,Raymond,45-49,USA,15317,"1,125",2:56:35,10595,2019,F
Alison,Heslin,30-34,USA,5726,"1,136",2:56:40,10600,2019,F
Megan,Longinotti,35-39,USA,8190,"1,137",2:56:41,10601,2019,F
Morales Norma,Alicia,30-34,MEX,4573,"1,142",2:56:46,10606,2019,F
Cheryl,Pepin,30-34,CAN,2148,"1,159",2:56:55,10615,2019,F
Brea,Goodman,25-29,USA,4477,"1,169",2:57:00,10620,2019,F
Laura,Hermans,30-34,NED,7404,"1,176",2:57:03,10623,2019,F
Alysia,Dusseau,35-39,USA,505,"1,182",2:57:10,10630,2019,F
Irina,Mikitenko,45-49,GER,2619,"1,188",2:57:15,10635,2019,F
Rachel,Rodin,25-29,USA,5763,"1,193",2:57:17,10637,2019,F
Alexandra,Spiroff,25-29,USA,537,"1,203",2:57:20,10640,2019,F
Ida,Sargent,30-34,USA,4696,"1,209",2:57:22,10642,2019,F
Rebecca,Dobbin,25-29,USA,502,"1,215",2:57:25,10645,2019,F
Allison,Devereux,30-34,USA,6276,"1,218",2:57:26,10646,2019,F
Sofie,Hjorth,30-34,NOR,4520,"1,219",2:57:26,10646,2019,F
Mika,Nakamura,45-49,JPN,6173,"1,221",2:57:27,10647,2019,F
Johanna,Salminen,40-44,SWE,6499,"1,240",2:57:38,10658,2019,F
Sarah,Mellea,25-29,USA,523,"1,262",2:57:49,10669,2019,F
Leteyesus Berhe,Weldu,40-44,ETH,497,"1,268",2:57:52,10672,2019,F
Casey,Wilson,35-39,USA,6025,"1,278",2:57:56,10676,2019,F
Cecilia,Varela,35-39,CHI,6481,"1,297",2:58:05,10685,2019,F
Gabby,Tofig,20-24,USA,538,"1,307",2:58:07,10687,2019,F
Mary,Johnston,25-29,USA,513,"1,315",2:58:11,10691,2019,F
Amy,Natalini,35-39,USA,525,"1,316",2:58:11,10691,2019,F
Catherine,Joecken,25-29,USA,6645,"1,327",2:58:17,10697,2019,F
Carolyn,Baird,30-34,USA,7614,"1,336",2:58:19,10699,2019,F
Tania,Estrada,30-34,MEX,5800,"1,350",2:58:25,10705,2019,F
Nadia,Dagher,25-29,LIB,4307,"1,352",2:58:27,10707,2019,F
Meta,Haley,30-34,USA,508,"1,361",2:58:33,10713,2019,F
