Name,Gender,Age,Country,BIB,Overall Place,Time
Geoffrey Kamworor,M,24,KEN,5,1,2:10:53
Wilson Kipsang,M,35,KEN,4,2,2:10:56
Lelisa Desisa,M,27,ETH,7,3,2:11:32
Lemi Berhanu,M,22,ETH,6,4,2:11:52
Tadesse Abraham,M,35,SUI,10,5,2:12:01
Michel Butter,M,32,NED,14,6,2:12:39
Abdi Abdirahman,M,40,USA,3,7,2:12:48
Koen Naert,M,28,BEL,16,8,2:13:21
Fikadu Girma Teferi,M,24,ETH,442,9,2:13:58
Shadrack Biwott,M,32,USA,12,10,2:14:57
Meb Keflezighi,M,42,USA,11,11,2:15:29
Jared Ward,M,29,USA,9,12,2:18:39
Senbeto Geneti Guteta,M,24,ETH,441,13,2:20:29
Birhanu Dare Kemal,M,31,ETH,443,14,2:21:30
Brendan Martin,M,28,USA,18,15,2:22:36
Harbert Okuti,M,32,UGA,21,16,2:22:46
John Metui,M,26,KEN,19568,17,2:23:40
Girma Segni,M,32,ETH,549,18,2:23:51
Francesco Puppi,M,25,ITA,20,19,2:25:35
Shalane Flanagan,W,36,USA,108,20,2:26:53
Peter Le Grice,M,30,GBR,1025,21,2:27:11
Abu Kebede Diriba,M,30,ETH,444,22,2:27:25
Doriano Bussolotto,M,36,ITA,1031,23,2:27:41
Mary Keitany,W,35,KEN,101,24,2:27:54
Alberto Mosca,M,39,ITA,462,25,2:28:07
Mamitu Daska,W,34,ETH,105,26,2:28:08
Enzo Yanez Jhonson,M,32,CHI,1011,27,2:28:17
Jordan Tropf,M,25,USA,1032,28,2:28:19
Matt Lenehan,M,26,USA,464,29,2:28:26
Fredrik Uhrbom,M,40,SWE,40,30,2:28:42
Benjamin Mears,M,28,USA,458,31,2:29:12
Edna Kiplagat,W,38,KEN,102,32,2:29:36
Allie Kieffer,W,30,USA,126,33,2:29:39
Sara Dossena,W,32,ITA,120,34,2:29:39
Luc Schout,M,30,NED,1022,35,2:29:41
Eva Vrabcova,W,31,CZE,117,36,2:29:41
Wojciech Kopec,M,31,POL,1010,37,2:29:47
Kellyn Taylor,W,31,USA,114,38,2:29:56
Asier Cuevas,M,44,ESP,446,39,2:30:00
David Saunders,M,33,USA,548,40,2:30:05
Jake Kasperski,M,26,USA,1154,41,2:30:06
Suleman Abrar Shifa,M,24,ETH,447,42,2:30:26
Agustin Moreno,M,32,ESP,1118,43,2:30:28
Kyle Larson,M,27,USA,1117,44,2:30:51
Rafael Oliveira,M,37,POR,460,45,2:31:03
GAMBINO SALVATORE,M,37,ITA,1068,46,2:31:12
Diane Nukuri,W,32,BDI,106,47,2:31:21
Mark Sidebottom,M,26,USA,1107,48,2:31:24
Lane Boyer,M,28,USA,1019,49,2:31:26
broderick gann,M,31,USA,1024,50,2:31:33
Phillip Falk,M,33,USA,454,51,2:31:39
Stephanie Bruce,W,33,USA,116,52,2:31:44
Logan Sherman,M,31,USA,474,53,2:31:47
Karl Augsten,M,26,CAN,1357,54,2:31:51
Matthew Farkas,M,27,USA,1415,55,2:31:52
luigi vivian,M,43,ITA,1128,56,2:31:59
Buzunesh Deba,W,30,ETH,109,57,2:32:01
Christelle Daunay,W,42,FRA,111,58,2:32:09
Mohammed El Yamani,M,53,FRA,461,59,2:32:30
Gishu Dida Maco,M,35,ETH,450,60,2:32:46
Jann Post,M,37,NOR,1398,61,2:32:53
Brent Woodle,M,32,USA,468,62,2:32:55
Joseph Schnitter,M,24,USA,1373,63,2:33:05
john campagna,M,25,USA,1039,64,2:33:08
Massi Milani,M,45,ITA,1060,65,2:33:15
Glenn Lastennet,M,32,FRA,1249,66,2:33:18
Aliphine Tuliamuk,W,28,USA,115,67,2:33:18
Ole Kristian Heggheim,M,45,NOR,476,68,2:33:25
Fredison Costa,M,40,BRA,459,69,2:33:44
Andrea Fraquelli,M,33,GBR,557,70,2:33:45
Ben Leese,M,37,USA,552,71,2:34:03
Emma Quaglia,W,37,ITA,132,72,2:34:10
Hugh Parker,M,27,USA,465,73,2:34:15
Zachary Meineke,M,29,USA,1084,74,2:34:22
Aaron Woodman,M,32,GBR,1221,75,2:34:23
Serkalem Biset Abrha,W,30,ETH,119,76,2:34:23
Marco Quaglia,M,39,ITA,1042,77,2:34:30
Greg Hutson,M,31,USA,1147,78,2:34:38
Recio Alvarez,M,38,DOM,1247,79,2:34:39
David Roeske,M,36,USA,478,80,2:35:16
Yuji Wakimoto,M,25,JPN,1017,81,2:35:16
Brendon O'Leary,M,35,USA,483,82,2:35:27
Daniel Wallace-Periac,M,30,USA,480,83,2:35:30
Daniel Kittaka,M,29,USA,1197,84,2:35:41
Domenico La Banca,M,33,ITA,1577,85,2:35:48
Trond Smedsrud,M,35,NOR,1224,86,2:36:06
Matthew Richards,M,30,GBR,1200,87,2:36:23
Andrew Fenske,M,25,USA,1234,88,2:36:27
Joe Viavattine,M,22,USA,2447,89,2:36:37
Josh Baden,M,28,USA,456,90,2:36:37
Askale Merachi,W,30,ETH,123,91,2:36:38
Hans Larsson,M,35,SWE,1137,92,2:36:43
Julien GALOT,M,33,FRA,1280,93,2:36:45
Knox Robinson,M,42,USA,473,94,2:36:46
Brent Frissora,M,33,USA,452,95,2:36:48
Ryan Millar,M,26,USA,457,96,2:36:49
