Last Name,First Name,Division,Country,BIB,Overall Place,Time,Seconds,Year,Gender
Geoffrey,Kamworor,25-29,KEN,3,1,2:08:13,7693,2019,M
Albert,Korir,25-29,KEN,5,2,2:08:36,7716,2019,M
Girma Bekele,Gebre,25-29,ETH,443,3,2:08:38,7718,2019,M
Tamirat,Tola,25-29,ETH,4,4,2:09:20,7760,2019,M
Shura,Kitata,20-24,ETH,2,5,2:10:39,7839,2019,M
Jared,Ward,30-34,USA,6,6,2:10:45,7845,2019,M
Stephen,Sambu,30-34,KEN,10,7,2:11:11,7871,2019,M
Yoshiki,Takenouchi,25-29,JPN,11,8,2:11:18,7878,2019,M
Abdi,Abdirahman,40-44,USA,14,9,2:11:34,7894,2019,M
Connor,McMillan,20-24,USA,28,10,2:12:07,7927,2019,M
Arne,Gabius,35-39,GER,12,11,2:12:57,7977,2019,M
Daniel,Mesfun,30-34,ERI,15,12,2:13:09,7989,2019,M
Birhanu Dare,Kemal,30-34,ETH,26,13,2:13:35,8015,2019,M
Tyler,Pennel,30-34,USA,18,14,2:14:10,8050,2019,M
John,Raneri,25-29,USA,27,15,2:14:13,8053,2019,M
Patricio,Castillo,25-29,MEX,445,16,2:14:16,8056,2019,M
Tadesse Yae,Dabi,30-34,ETH,25,17,2:14:24,8064,2019,M
Tyler,Jermann,25-29,USA,19,18,2:15:38,8138,2019,M
Joe,Whelan,25-29,USA,23,19,2:16:10,8170,2019,M
Louis,Serafini,25-29,USA,30,20,2:16:34,8194,2019,M
Diriba Degefa,Yigezu,30-34,ETH,448,21,2:16:38,8198,2019,M
Jack,Rayner,20-24,AUS,9,22,2:16:58,8218,2019,M
Brett,Robinson,25-29,AUS,8,23,2:17:50,8270,2019,M
Craig,Leon,30-34,USA,20,24,2:18:20,8300,2019,M
Mustafa,Mohamed,40-44,SWE,36,25,2:19:41,8381,2019,M
Brendan,Martin,30-34,USA,29,26,2:19:52,8392,2019,M
Harbert,Okuti,30-34,UGA,24,27,2:21:06,8466,2019,M
Fredison,Costa,40-44,BRA,447,28,2:21:29,8489,2019,M
Tyler,McCandless,30-34,USA,16,29,2:21:55,8515,2019,M
Gregory,Billington,30-34,USA,444,30,2:22:27,8547,2019,M
Temesgen Habtemariam,Bekele,25-29,ETH,458,32,2:23:04,8584,2019,M
Jaime,Julia,35-39,PUR,34,33,2:23:04,8584,2019,M
Abu Kebede,Diriba,30-34,ETH,460,35,2:23:55,8635,2019,M
Seth,DeMoor,30-34,USA,1008,36,2:24:01,8641,2019,M
Michel,Butter,30-34,NED,7,37,2:25:06,8706,2019,M
Matthew,Kruger,30-34,USA,465,38,2:25:37,8737,2019,M
Vladimir,Shatrov,40-44,AUS,1010,40,2:26:17,8777,2019,M
Tim Niklas,Schwippel,20-24,GER,1027,41,2:26:19,8779,2019,M
Jordan,Daniel,20-24,USA,1009,44,2:26:27,8787,2019,M
Guillaume,Adam,25-29,FRA,1052,45,2:26:36,8796,2019,M
Thierry,Guibault,45-49,FRA,1048,46,2:26:46,8806,2019,M
Rune,Baekgaard,30-34,DEN,441,49,2:26:53,8813,2019,M
Miguel,Ferrer,40-44,ESP,454,51,2:27:15,8835,2019,M
Chris,Bailey,25-29,USA,442,53,2:27:29,8849,2019,M
Massi,Milani,45-49,ITA,1055,54,2:27:30,8850,2019,M
Jakob,Pedersen,25-29,DEN,476,57,2:27:49,8869,2019,M
Benjamin,Toomer,30-34,GBR,487,58,2:27:56,8876,2019,M
David,Kilgore,25-29,USA,462,59,2:27:59,8879,2019,M
Felix,Ledwig,25-29,GER,1051,60,2:27:59,8879,2019,M
Luis,Molina,30-34,ARG,1004,61,2:28:00,8880,2019,M
Joost De,Raeymaeker,50-54,BEL,1044,63,2:28:16,8896,2019,M
Robert,Hudson,30-34,GBR,1598,64,2:28:29,8909,2019,M
Enrique Calvillo,Trujillano,40-44,ESP,1058,65,2:29:22,8962,2019,M
Matthew,Conrad,25-29,USA,546,66,2:29:40,8980,2019,M
Dennis,Ryan,25-29,USA,1041,67,2:29:48,8988,2019,M
King Long,Wat,20-24,HKG,1236,68,2:29:49,8989,2019,M
Stuart,Haynes,40-44,GBR,1088,69,2:29:52,8992,2019,M
Abinazer,Aghegnehu,30-34,USA,1209,70,2:30:01,9001,2019,M
Floris,Willeboordse,25-29,NED,1029,71,2:30:01,9001,2019,M
Brandon,Abasolo,25-29,USA,1099,72,2:30:04,9004,2019,M
Jonathan,Rosenbrier,40-44,GBR,481,73,2:30:11,9011,2019,M
Anthony,DeSabato,25-29,USA,450,75,2:30:21,9021,2019,M
Edvinas,Vyzas,40-44,LTU,1111,76,2:30:23,9023,2019,M
Shawn,Ferguson,25-29,USA,1135,77,2:30:32,9032,2019,M
Dan,Way,30-34,CAN,1050,78,2:30:50,9050,2019,M
Taylor,Ashton,25-29,USA,1416,79,2:31:46,9106,2019,M
Narciso,Mejia,30-34,USA,1103,80,2:31:53,9113,2019,M
Mathias,Osmark,35-39,SWE,473,82,2:32:02,9122,2019,M
Hugh,Parker,25-29,USA,474,83,2:32:19,9139,2019,M
Eirik,Gundersen,40-44,NOR,457,84,2:32:20,9140,2019,M
Cesar,Mireles,25-29,MEX,1373,85,2:32:20,9140,2019,M
Gerard de,Antonio,25-29,ESP,1194,86,2:32:25,9145,2019,M
Orran,Smith,40-44,GBR,1787,87,2:32:43,9163,2019,M
Oz,Pearlman,35-39,USA,551,88,2:32:47,9167,2019,M
Matthew,Lawder,30-34,USA,467,89,2:32:51,9171,2019,M
Steven,Stallis,25-29,USA,1648,90,2:32:52,9172,2019,M
Guillermo Pineda,Morales,45-49,USA,477,91,2:33:03,9183,2019,M
Austin,Lavin,20-24,USA,1070,93,2:33:08,9188,2019,M
Nathan,Wilkins,25-29,GBR,1069,94,2:33:10,9190,2019,M
Jeremy,Klapper,35-39,USA,561,95,2:33:26,9206,2019,M
Duncan,Nyasinga,40-44,KEN,1814,96,2:33:27,9207,2019,M
Thierry,Ini,40-44,ITA,459,97,2:33:45,9225,2019,M
Lucas,Bittigkoffer,25-29,GER,1092,98,2:33:46,9226,2019,M
Andrea,Fraquelli,35-39,GBR,567,99,2:33:47,9227,2019,M
Fred,Goris,30-34,USA,1346,100,2:33:53,9233,2019,M
Francesco,Mascherpa,20-24,ITA,470,101,2:33:56,9236,2019,M
Garth,Watson,30-34,USA,1141,102,2:33:56,9236,2019,M
Giuseppe Del,Priore,35-39,ITA,1057,103,2:34:04,9244,2019,M
