Name,Gender,Age,Country,BIB,Overall Place,Time
Albert Korir,M,27,KEN,2,1,2:08:22
Mohamed El Aaraby,M,31,MAR,11,2,2:09:06
Eyob Faniel,M,28,ITA,7,3,2:09:52
Elkanah Kibet,M,38,USA,21,4,2:11:15
Abdi Nageeye,M,32,NED,5,5,2:11:39
Kenenisa Bekele,M,39,ETH,1,6,2:12:52
Ben True,M,35,USA,8,7,2:12:53
Nathan Martin,M,31,USA,17,8,2:12:57
Kibiwott Kandie,M,25,KEN,4,9,2:13:43
Jared Ward,M,33,USA,14,10,2:14:06
Patricio Castillo,M,29,MEX,20,11,2:14:11
John Raneri,M,30,USA,26,12,2:15:36
Akira Tomiyasu,M,25,JPN,15,13,2:16:39
Shadrack Biwott,M,36,USA,23,14,2:16:50
Thijs Nijhuis,M,29,DEN,16,15,2:17:25
Ryan Archer,M,26,USA,31,16,2:18:57
Augustine Choge,M,34,KEN,10,17,2:20:53
Alvaro Abreu,M,31,DOM,33,18,2:20:53
Brian Shrader,M,30,USA,25,19,2:21:55
Teshome Mekonen,M,26,ETH,9,20,2:22:16
Kevin Lewis,M,28,USA,24,21,2:22:39
Peres Jepchirchir,W,28,KEN,101,22,2:22:39
Viola Cheptoo,W,32,KEN,111,23,2:22:44
Ababel Yeshaneh,W,30,ETH,103,24,2:22:52
Benjamin Toomer,M,32,GBR,37,25,2:23:57
Molly Seidel,W,27,USA,106,26,2:24:42
Wojciech Kopec,M,35,POL,452,27,2:25:16
Jordan Daniel,M,26,USA,458,28,2:26:04
Helalia Johannes,W,41,NAM,104,29,2:26:09
Kellyn Taylor,W,35,USA,109,30,2:26:10
Adrian Haywas,M,33,USA,449,31,2:26:14
Jay Schairbaum,M,26,USA,472,32,2:26:16
Annie Frisbie,W,24,USA,117,33,2:26:18
Laura Thweatt,W,32,USA,110,34,2:27:00
Urgesa Kedir Figa,M,26,ETH,29,35,2:27:24
Jason Simpson,M,37,USA,443,36,2:28:12
David Laney,M,33,USA,1019,37,2:28:28
David Kilgore,M,29,USA,460,38,2:29:10
Jared Ismael Velazco Flores,M,23,MEX,1002,39,2:29:13
Brian Reis,M,32,USA,477,40,2:29:17
Oz Pearlman,M,39,USA,475,41,2:29:19
Daniel Höflinger,M,30,USA,1244,42,2:29:53
Jacob Shiohira,M,25,USA,1009,43,2:30:24
David Fitzmaurice,M,31,IRL,34,44,2:30:28
Grace Kahura,W,28,KEN,123,45,2:30:32
Stephanie Bruce,W,37,USA,115,46,2:31:05
Marc Violone,M,28,USA,1007,47,2:32:00
Austin Hendrix,M,32,USA,1291,48,2:32:11
Collin Wainwright,M,26,USA,1061,49,2:32:14
Jesse Frank,M,29,USA,1038,50,2:32:18
Hugh Parker,M,31,USA,474,51,2:32:43
Lanni Marchant,W,37,CAN,119,52,2:32:54
Peter Geithner,M,27,USA,447,53,2:32:55
Thomas Kennedy,M,26,USA,543,54,2:33:08
David Puleo,M,30,USA,3362,55,2:33:22
Kenneth Rideout,M,50,USA,456,56,2:33:31
Shalane Flanagan,W,40,USA,1013,57,2:33:32
Abinazer Aghegnehu,M,36,USA,467,58,2:33:33
David Roeske,M,40,USA,551,59,2:33:34
Ned Trim,M,28,USA,451,60,2:33:44
Timothée Jung,M,32,NOR,1059,61,2:34:02
Haruka Yamaguchi,W,34,JPN,114,62,2:34:04
Kyle Kondracki,M,23,USA,547,63,2:34:22
Andrea Ramirez Limon,W,26,MEX,113,64,2:34:51
Sebastian Nicewicz,M,28,USA,478,65,2:35:14
Adam Cordell,M,31,USA,1028,66,2:35:34
Clayton Blose,M,29,USA,573,67,2:35:39
Nils Arend,M,41,GER,1287,68,2:35:41
Jordy Winslow,M,30,USA,558,69,2:35:50
Ignacio Lopez Mancisidor,M,37,ESP,1363,70,2:35:54
Hanna Lindholm,W,41,SWE,125,71,2:35:54
Marko Cheseto,M,38,KEN,1102,72,2:35:55
Joseph Tuttle,M,37,USA,548,73,2:36:22
Brandon Hough,M,31,USA,1175,74,2:36:32
Matt Tuohy,M,24,USA,1011,75,2:36:39
Jonah Hanig,M,27,USA,1048,76,2:36:45
Conor Lanz,M,36,USA,1076,77,2:36:55
Troy Castle,M,29,USA,1196,78,2:37:10
Travis Hawkins,M,38,USA,1537,79,2:37:24
Scott Kulm,M,27,USA,1032,80,2:37:25
Wandisile Nongodlwana,M,45,RSA,1169,81,2:37:27
Sean Hyland,M,37,USA,2111,82,2:37:34
Henry Lelei,M,32,KEN,445,83,2:37:38
David Magida,M,35,USA,1092,84,2:37:41
