Name,Gender,Age,Country,BIB,Overall Place,Time
Geoffrey Kamworor,M,26,KEN,3,1,2:08:13
Albert Korir,M,25,KEN,5,2,2:08:36
Girma Bekele Gebre,M,26,ETH,443,3,2:08:38
Tamirat Tola,M,28,ETH,4,4,2:09:20
Shura Kitata,M,23,ETH,2,5,2:10:39
Jared Ward,M,31,USA,6,6,2:10:45
Stephen Sambu,M,31,KEN,10,7,2:11:11
Yoshiki Takenouchi,M,27,JPN,11,8,2:11:18
Abdi Abdirahman,M,42,USA,14,9,2:11:34
Connor McMillan,M,23,USA,28,10,2:12:07
Arne Gabius,M,38,GER,12,11,2:12:57
Daniel Mesfun,M,31,ERI,15,12,2:13:09
Birhanu Dare Kemal,M,33,ETH,26,13,2:13:35
Tyler Pennel,M,31,USA,18,14,2:14:10
John Raneri,M,28,USA,27,15,2:14:13
Patricio Castillo,M,27,MEX,445,16,2:14:16
Tadesse Yae Dabi,M,30,ETH,25,17,2:14:24
Tyler Jermann,M,27,USA,19,18,2:15:38
Joe Whelan,M,28,USA,23,19,2:16:10
Louis Serafini,M,28,USA,30,20,2:16:34
Diriba Degefa Yigezu,M,31,ETH,448,21,2:16:38
Jack Rayner,M,23,AUS,9,22,2:16:58
Brett Robinson,M,28,AUS,8,23,2:17:50
Craig Leon,M,34,USA,20,24,2:18:20
Mustafa Mohamed,M,40,SWE,36,25,2:19:41
Brendan Martin,M,30,USA,29,26,2:19:52
Harbert Okuti,M,34,UGA,24,27,2:21:06
Fredison Costa,M,42,BRA,447,28,2:21:29
Tyler McCandless,M,33,USA,16,29,2:21:55
Gregory Billington,M,30,USA,444,30,2:22:27
Joyciline Jepkosgei,W,25,KEN,106,31,2:22:38
Temesgen Habtemariam Bekele,M,29,ETH,458,32,2:23:04
Jaime Julia,M,35,PUR,34,33,2:23:04
Mary Keitany,W,37,KEN,101,34,2:23:32
Abu Kebede Diriba,M,32,ETH,460,35,2:23:55
Seth DeMoor,M,34,USA,1008,36,2:24:01
Michel Butter,M,33,NED,7,37,2:25:06
Matthew Kruger,M,31,USA,465,38,2:25:37
Ruti Aga,W,25,ETH,103,39,2:25:51
Vladimir Shatrov,M,41,AUS,1010,40,2:26:17
Tim Niklas Schwippel,M,24,GER,1027,41,2:26:19
Nancy Kiprop,W,40,KEN,104,42,2:26:21
Sinead Diver,W,42,AUS,107,43,2:26:23
Jordan Daniel,M,24,USA,1009,44,2:26:27
Guillaume Adam,M,29,FRA,1052,45,2:26:36
Thierry Guibault,M,45,FRA,1048,46,2:26:46
Desiree Linden,W,36,USA,105,47,2:26:46
Kellyn Taylor,W,33,USA,108,48,2:26:52
Rune Baekgaard,M,31,DEN,441,49,2:26:53
Ellie Pashley,W,30,AUS,112,50,2:27:07
Miguel Ferrer,M,41,ESP,454,51,2:27:15
Belaynesh Fikadu,W,32,ETH,116,52,2:27:27
Chris Bailey,M,29,USA,442,53,2:27:29
Massi Milani,M,47,ITA,1055,54,2:27:30
Mary Ngugi,W,30,KEN,114,55,2:27:36
Gerda Steyn,W,29,RSA,118,56,2:27:48
Jakob Pedersen,M,29,DEN,476,57,2:27:49
Benjamin Toomer,M,30,GBR,487,58,2:27:56
David Kilgore,M,27,USA,462,59,2:27:59
Felix Ledwig,M,28,GER,1051,60,2:27:59
Luis Molina,M,31,ARG,1004,61,2:28:00
Aliphine Tuliamuk,W,30,USA,113,62,2:28:12
Joost De Raeymaeker,M,51,BEL,1044,63,2:28:16
Robert Hudson,M,32,GBR,1598,64,2:28:29
Enrique Calvillo Trujillano,M,44,ESP,1058,65,2:29:22
Matthew Conrad,M,25,USA,546,66,2:29:40
Dennis Ryan,M,26,USA,1041,67,2:29:48
King Long Wat,M,24,HKG,1236,68,2:29:49
Stuart Haynes,M,43,GBR,1088,69,2:29:52
Abinazer Aghegnehu,M,34,USA,1209,70,2:30:01
Floris Willeboordse,M,29,NED,1029,71,2:30:01
Brandon Abasolo,M,28,USA,1099,72,2:30:04
Jonathan Rosenbrier,M,40,GBR,481,73,2:30:11
Roberta Groner,W,41,USA,117,74,2:30:12
Anthony DeSabato,M,29,USA,450,75,2:30:21
Edvinas Vyzas,M,42,LTU,1111,76,2:30:23
Shawn Ferguson,M,28,USA,1135,77,2:30:32
Dan Way,M,32,CAN,1050,78,2:30:50
Taylor Ashton,M,28,USA,1416,79,2:31:46
Narciso Mejia,M,34,USA,1103,80,2:31:53
Katy Jermann,W,27,USA,122,81,2:31:55
Mathias Osmark,M,37,SWE,473,82,2:32:02
Hugh Parker,M,29,USA,474,83,2:32:19
Eirik Gundersen,M,40,NOR,457,84,2:32:20
Cesar Mireles,M,29,MEX,1373,85,2:32:20
Gerard de Antonio,M,29,ESP,1194,86,2:32:25
Orran Smith,M,40,GBR,1787,87,2:32:43
Oz Pearlman,M,37,USA,551,88,2:32:47
Matthew Lawder,M,31,USA,467,89,2:32:51
Steven Stallis,M,28,USA,1648,90,2:32:52
Guillermo Pineda Morales,M,46,USA,477,91,2:33:03
Kate Landau,W,43,USA,123,92,2:33:04
Austin Lavin,M,24,USA,1070,93,2:33:08
Nathan Wilkins,M,27,GBR,1069,94,2:33:10
Jeremy Klapper,M,36,USA,561,95,2:33:26
Duncan Nyasinga,M,40,KEN,1814,96,2:33:27
Thierry Ini,M,43,ITA,459,97,2:33:45
