Last Name,First Name,Division,Country,BIB,Overall Place,Time,Seconds,Year,Gender
Geoffrey,Kamworor,20-24,KEN,5,1,2:10:53,7853,2017,M
Wilson,Kipsang,35-39,KEN,4,2,2:10:56,7856,2017,M
Lelisa,Desisa,25-29,ETH,7,3,2:11:32,7892,2017,M
Lemi,Berhanu,20-24,ETH,6,4,2:11:52,7912,2017,M
Tadesse,Abraham,35-39,SUI,10,5,2:12:01,7921,2017,M
Michel,Butter,30-34,NED,14,6,2:12:39,7959,2017,M
Abdi,Abdirahman,40-44,USA,3,7,2:12:48,7968,2017,M
Koen,Naert,25-29,BEL,16,8,2:13:21,8001,2017,M
Fikadu Girma,Teferi,20-24,ETH,442,9,2:13:58,8038,2017,M
Shadrack,Biwott,30-34,USA,12,10,2:14:57,8097,2017,M
Meb,Keflezighi,40-44,USA,11,11,2:15:29,8129,2017,M
Jared,Ward,25-29,USA,9,12,2:18:39,8319,2017,M
Senbeto Geneti,Guteta,20-24,ETH,441,13,2:20:29,8429,2017,M
Birhanu Dare,Kemal,30-34,ETH,443,14,2:21:30,8490,2017,M
Brendan,Martin,25-29,USA,18,15,2:22:36,8556,2017,M
Harbert,Okuti,30-34,UGA,21,16,2:22:46,8566,2017,M
John,Metui,25-29,KEN,19568,17,2:23:40,8620,2017,M
Girma,Segni,30-34,ETH,549,18,2:23:51,8631,2017,M
Francesco,Puppi,25-29,ITA,20,19,2:25:35,8735,2017,M
Peter Le,Grice,30-34,GBR,1025,21,2:27:11,8831,2017,M
Abu Kebede,Diriba,30-34,ETH,444,22,2:27:25,8845,2017,M
Doriano,Bussolotto,35-39,ITA,1031,23,2:27:41,8861,2017,M
Alberto,Mosca,35-39,ITA,462,25,2:28:07,8887,2017,M
Enzo Yanez,Jhonson,30-34,CHI,1011,27,2:28:17,8897,2017,M
Jordan,Tropf,25-29,USA,1032,28,2:28:19,8899,2017,M
Matt,Lenehan,25-29,USA,464,29,2:28:26,8906,2017,M
Fredrik,Uhrbom,40-44,SWE,40,30,2:28:42,8922,2017,M
Benjamin,Mears,25-29,USA,458,31,2:29:12,8952,2017,M
Luc,Schout,30-34,NED,1022,35,2:29:41,8981,2017,M
Wojciech,Kopec,30-34,POL,1010,37,2:29:47,8987,2017,M
Asier,Cuevas,40-44,ESP,446,39,2:30:00,9000,2017,M
David,Saunders,30-34,USA,548,40,2:30:05,9005,2017,M
Jake,Kasperski,25-29,USA,1154,41,2:30:06,9006,2017,M
Suleman Abrar,Shifa,20-24,ETH,447,42,2:30:26,9026,2017,M
Agustin,Moreno,30-34,ESP,1118,43,2:30:28,9028,2017,M
Kyle,Larson,25-29,USA,1117,44,2:30:51,9051,2017,M
Rafael,Oliveira,35-39,POR,460,45,2:31:03,9063,2017,M
GAMBINO,SALVATORE,35-39,ITA,1068,46,2:31:12,9072,2017,M
Mark,Sidebottom,25-29,USA,1107,48,2:31:24,9084,2017,M
Lane,Boyer,25-29,USA,1019,49,2:31:26,9086,2017,M
broderick,gann,30-34,USA,1024,50,2:31:33,9093,2017,M
Phillip,Falk,30-34,USA,454,51,2:31:39,9099,2017,M
Logan,Sherman,30-34,USA,474,53,2:31:47,9107,2017,M
Karl,Augsten,25-29,CAN,1357,54,2:31:51,9111,2017,M
Matthew,Farkas,25-29,USA,1415,55,2:31:52,9112,2017,M
luigi,vivian,40-44,ITA,1128,56,2:31:59,9119,2017,M
Mohammed El,Yamani,50-54,FRA,461,59,2:32:30,9150,2017,M
Gishu Dida,Maco,35-39,ETH,450,60,2:32:46,9166,2017,M
Jann,Post,35-39,NOR,1398,61,2:32:53,9173,2017,M
Brent,Woodle,30-34,USA,468,62,2:32:55,9175,2017,M
Joseph,Schnitter,20-24,USA,1373,63,2:33:05,9185,2017,M
john,campagna,25-29,USA,1039,64,2:33:08,9188,2017,M
Massi,Milani,45-49,ITA,1060,65,2:33:15,9195,2017,M
Glenn,Lastennet,30-34,FRA,1249,66,2:33:18,9198,2017,M
Ole Kristian,Heggheim,45-49,NOR,476,68,2:33:25,9205,2017,M
Fredison,Costa,40-44,BRA,459,69,2:33:44,9224,2017,M
Andrea,Fraquelli,30-34,GBR,557,70,2:33:45,9225,2017,M
Ben,Leese,35-39,USA,552,71,2:34:03,9243,2017,M
Hugh,Parker,25-29,USA,465,73,2:34:15,9255,2017,M
