Last Name,First Name,Division,Country,BIB,Overall Place,Time,Seconds,Year,Gender
Shalane,Flanagan,35-39,USA,108,20,2:26:53,8813,2017,F
Mary,Keitany,35-39,KEN,101,24,2:27:54,8874,2017,F
Mamitu,Daska,30-34,ETH,105,26,2:28:08,8888,2017,F
Edna,Kiplagat,35-39,KEN,102,32,2:29:36,8976,2017,F
Allie,Kieffer,30-34,USA,126,33,2:29:39,8979,2017,F
Sara,Dossena,30-34,ITA,120,34,2:29:39,8979,2017,F
Eva,Vrabcova,30-34,CZE,117,36,2:29:41,8981,2017,F
Kellyn,Taylor,30-34,USA,114,38,2:29:56,8996,2017,F
Diane,Nukuri,30-34,BDI,106,47,2:31:21,9081,2017,F
Stephanie,Bruce,30-34,USA,116,52,2:31:44,9104,2017,F
Buzunesh,Deba,30-34,ETH,109,57,2:32:01,9121,2017,F
Christelle,Daunay,40-44,FRA,111,58,2:32:09,9129,2017,F
Aliphine,Tuliamuk,25-29,USA,115,67,2:33:18,9198,2017,F
Emma,Quaglia,35-39,ITA,132,72,2:34:10,9250,2017,F
Serkalem Biset,Abrha,30-34,ETH,119,76,2:34:23,9263,2017,F
Askale,Merachi,30-34,ETH,123,91,2:36:38,9398,2017,F
Adriana Aparecida Da,Silva,35-39,BRA,118,102,2:37:22,9442,2017,F
Jessica,Augusto,35-39,POR,110,105,2:37:33,9453,2017,F
Belaynesh,Fikadu,30-34,USA,131,126,2:39:01,9541,2017,F
Laurie,Knowles,40-44,USA,122,140,2:40:09,9609,2017,F
Angela,Ortiz,35-39,USA,494,186,2:42:52,9772,2017,F
Kaoru,Nagao,25-29,JPN,112,223,2:44:26,9866,2017,F
Kate,Pallardy,30-34,USA,128,231,2:44:48,9888,2017,F
Jeanne,Mack,25-29,USA,2391,255,2:45:20,9920,2017,F
Charlotte,Karlsson,30-34,SWE,135,268,2:45:52,9952,2017,F
Beverly,Ramos,30-34,PUR,124,296,2:46:45,10005,2017,F
Manuela,Soccol,25-29,BEL,125,307,2:47:04,10024,2017,F
Gloria,Giudici,30-34,ITA,127,318,2:47:30,10050,2017,F
