Name,Gender,Age,Country,BIB,Overall Place,Time
Evans Chebet,M,33,KEN,3,1,2:08:41
Shura Kitata,M,26,ETH,5,2,2:08:54
Abdi Nageeye,M,33,NED,7,3,2:10:31
Mohamed El Aaraby,M,32,MAR,2,4,2:11:00
Suguru Osako,M,31,JPN,9,5,2:11:31
Tetsuya Yoroizaka,M,32,JPN,15,6,2:12:12
Albert Korir,M,28,KEN,1,7,2:13:27
Daniele Meucci,M,37,ITA,20,8,2:13:29
Scott Fauble,M,31,USA,17,9,2:13:35
Reed Fischer,M,27,USA,22,10,2:15:23
Jared Ward,M,34,USA,19,11,2:17:09
Matthew Baxter,M,28,NZL,29,12,2:17:15
Leonard Korir,M,35,USA,12,13,2:17:29
Matthew Llano,M,34,USA,25,14,2:20:04
Olivier Irabaruta,M,32,BDI,11,15,2:20:14
Hendrik Pfeiffer,M,29,GER,1088,16,2:22:31
Jonas Hampton,M,33,USA,28,17,2:22:58
Alberto Mena,M,24,ECU,39,18,2:23:10
Sharon Lokedi,W,28,KEN,114,19,2:23:23
Lonah Chemtai Salpeter,W,33,ISR,105,20,2:23:30
Jacob Shiohira,M,26,USA,482,21,2:23:33
Gotytom Gebreslase,W,27,ETH,103,22,2:23:39
Edward Mulder,M,30,USA,32,23,2:23:42
Edna Kiplagat,W,42,KEN,106,24,2:24:16
Jordan Daniel,M,27,USA,455,25,2:24:27
Nathan Martin,M,32,USA,24,26,2:25:27
Viola Cheptoo,W,33,KEN,102,27,2:25:34
Jeff Thies,M,27,USA,31,28,2:25:45
Hellen Obiri,W,32,KEN,104,29,2:25:49
Aliphine Tuliamuk,W,33,USA,112,30,2:26:18
Emma Bates,W,30,USA,110,31,2:26:53
Jessica Stenson,W,35,AUS,122,32,2:27:27
Shadrack Kipchirchir,M,33,USA,14,33,2:28:15
Nell Rojas,W,34,USA,116,34,2:28:32
Abi Joseph,M,37,USA,467,35,2:29:16
Zach Herriott,M,29,USA,10500,36,2:29:16
Lindsay Flanagan,W,31,USA,115,37,2:29:28
Gerda Steyn,W,32,RSA,123,38,2:30:22
Stephanie Bruce,W,38,USA,120,39,2:30:34
Ashenafi Ketema Birhana,M,34,ETH,38,40,2:30:38
