Last Name,First Name,Division,Country,BIB,Overall Place,Time,seconds,Year,Gender
Cherono,Lawrence,30-34,KEN,4,1,02:05:45,7545.0,2019,M
Debela,Dejene,20-24,ETH,38,2,02:05:46,7546.0,2019,M
Mengstu,Asefa,30-34,ETH,5,3,02:05:48,7548.0,2019,M
Karoki,Bedan,25-29,KEN,9,4,02:05:53,7553.0,2019,M
Abdi,Bashir,30-34,BEL,10,5,02:06:14,7574.0,2019,M
Tura,Seifu,20-24,ETH,39,6,02:08:35,7715.0,2019,M
Chumba,Dickson,30-34,KEN,6,7,02:09:11,7751.0,2019,M
Farah,Mo,35-39,GBR,1,8,02:09:58,7798.0,2019,M
Riley,Jacob,30-34,USA,16,9,02:10:36,7836.0,2019,M
Mock,Jerrell,20-24,USA,36,10,02:10:37,7837.0,2019,M
Stinson,Parker,25-29,USA,23,11,02:10:53,7853.0,2019,M
Bumbalough,Andrew,30-34,USA,20,12,02:10:56,7856.0,2019,M
Oishi,Minato,30-34,JPN,11,13,02:11:02,7862.0,2019,M
Mcdonald,Matthew,25-29,USA,21,14,02:11:10,7870.0,2019,M
Smith,Scott,20-24,USA,15,15,02:11:14,7874.0,2019,M
Gregg,Brendan,30-34,USA,17,16,02:11:38,7898.0,2019,M
Droddy,Noah,25-29,USA,25,17,02:11:42,7902.0,2019,M
Given,Wilkerson,25-29,USA,24,18,02:11:44,7904.0,2019,M
Estrada,Diego,25-29,USA,19,19,02:11:54,7914.0,2019,M
Hayakawa,Tsubasa,25-29,JPN,14,20,02:12:25,7945.0,2019,M
Takeuchi,Ryoma,25-29,JPN,12,21,02:12:26,7946.0,2019,M
Shrader,Brian,25-29,USA,18,22,02:13:27,8007.0,2019,M
Monroe,Alex,25-29,USA,34,24,02:14:15,8055.0,2019,M
Kremske,Daniel,30-34,USA,31,25,02:14:53,8093.0,2019,M
Milam,Willie,25-29,USA,33,26,02:14:54,8094.0,2019,M
Mickow,Colin,25-29,USA,572,27,02:14:55,8095.0,2019,M
Peterson,Alan,25-29,USA,28,28,02:14:56,8096.0,2019,M
Mazaheri,Bijan,25-29,USA,706,29,02:15:26,8126.0,2019,M
Havel,Kevin,25-29,USA,488,30,02:15:37,8137.0,2019,M
Lennon,Daniel,25-29,USA,544,31,02:16:08,8168.0,2019,M
Sanabria-Diaz,Alvaro,25-29,CRC,634,32,02:16:29,8189.0,2019,M
Ortiz Perez,Daniel,35-39,MEX,592,33,02:16:50,8210.0,2019,M
Root,Ryan,25-29,USA,26,34,02:16:59,8219.0,2019,M
Wiley,Turner,25-29,USA,687,35,02:17:00,8220.0,2019,M
Herzig,Matthew,20-24,USA,495,36,02:17:02,8222.0,2019,M
Peloquin,Conner,25-29,USA,598,37,02:17:02,8222.0,2019,M
Neff,Jackson,25-29,USA,30,38,02:17:21,8241.0,2019,M
Cross,Will,25-29,USA,432,39,02:17:33,8253.0,2019,M
Hansen,Kevin,35-39,USA,484,40,02:18:25,8305.0,2019,M
May,Christopher,25-29,USA,564,41,02:18:34,8314.0,2019,M
Medina,Oscar,25-29,MEX,568,42,02:18:45,8325.0,2019,M
Campbell,Patrick,20-24,USA,407,43,02:18:51,8331.0,2019,M
Lustgarten,Brett,25-29,USA,32,44,02:18:59,8339.0,2019,M
Smith,Ryan,20-24,USA,651,45,02:19:22,8362.0,2019,M
Gade,Noah,20-24,USA,465,46,02:19:50,8390.0,2019,M
Bang,Eric,25-29,CAN,370,47,02:19:56,8396.0,2019,M
Eaton,Michael,30-34,USA,29,48,02:19:58,8398.0,2019,M
Thomas,Jason,25-29,USA,665,49,02:20:28,8428.0,2019,M
Nally,Daniel,30-34,USA,580,50,02:20:38,8438.0,2019,M
Craighead,Daniel,25-29,USA,430,53,02:21:15,8475.0,2019,M
Hillard,Matthew,30-34,USA,497,54,02:21:20,8480.0,2019,M
Chorney,Matt,30-34,USA,417,55,02:21:28,8488.0,2019,M
Sakamoto,Takaya,40-44,JPN,632,56,02:21:32,8492.0,2019,M
Bramblett,Jordan,20-24,USA,13197,57,02:21:40,8500.0,2019,M
Erskine,Andrew,25-29,USA,457,58,02:21:41,8501.0,2019,M
Nelson,Aaron,25-29,USA,582,59,02:21:42,8502.0,2019,M
Burkhardt,Glen,25-29,USA,402,60,02:21:58,8518.0,2019,M
Guillen,Ramiro,35-39,USA,475,61,02:22:00,8520.0,2019,M
Ripley,Zachary,30-34,USA,619,62,02:22:11,8531.0,2019,M
Barker,Zachary,25-29,USA,371,63,02:22:18,8538.0,2019,M
Hall,Benjamin,30-34,USA,481,64,02:22:24,8544.0,2019,M
Rylaarsdam,Andrew,20-24,USA,713,65,02:22:27,8547.0,2019,M
Rayner,Kenny,25-29,USA,613,66,02:22:31,8551.0,2019,M
Ruth,Marius,25-29,NOR,5060,67,02:22:33,8553.0,2019,M
Price,Alex,25-29,USA,606,68,02:22:33,8553.0,2019,M
Williams,Nathanael,25-29,USA,688,69,02:22:46,8566.0,2019,M
Corby,Ryan,35-39,USA,424,70,02:22:51,8571.0,2019,M
Zhou,Fan,30-34,USA,699,71,02:23:00,8580.0,2019,M
Ammons,Mitchell,30-34,USA,17148,72,02:23:08,8588.0,2019,M
Diaz,Cesar,30-34,CHI,2168,73,02:23:22,8602.0,2019,M
Abebe,Yonatan,30-34,USA,14060,74,02:23:48,8628.0,2019,M
Moncrieff,Ryan,25-29,USA,12173,75,02:23:54,8634.0,2019,M
Glaz,Daniel,35-39,USA,710,76,02:23:57,8637.0,2019,M
Smith,Kent,25-29,USA,653,77,02:24:09,8649.0,2019,M
Arcos,Raul,25-29,USA,17162,78,02:24:28,8668.0,2019,M
