Last Name,First Name,Division,Country,BIB,Overall Place,Time,seconds,Year,Gender
Sherf,Aaron,30-34,USA,758,98,02:26:20,8780.0,2023,M
Gold,Alex,25-29,USA,21043,99,02:26:32,8792.0,2023,M
Lindquist,Jackson,30-34,USA,633,100,02:26:37,8797.0,2023,M
Dialynas,Thomas,30-34,USA,830,101,02:26:42,8802.0,2023,M
Sugai,Hirohito,25-29,JPN,770,102,02:26:47,8807.0,2023,M
Hernandez Escalona,Ismain,30-34,MEX,572,104,02:26:50,8810.0,2023,M
Castellani,Michael,30-34,USA,457,105,02:26:50,8810.0,2023,M
O'Connor,Nathan,20-24,USA,695,106,02:26:58,8818.0,2023,M
Mbelenzi,Dennis,40-44,CAN,659,107,02:27:09,8829.0,2023,M
Larson,Korey,40-44,USA,627,108,02:27:15,8835.0,2023,M
Villanueva,Jorge,25-29,USA,794,109,02:27:18,8838.0,2023,M
Tesselaar,Tim,25-29,NED,1028,110,02:27:20,8840.0,2023,M
Salvador,Xavier,25-29,USA,19110,111,02:27:23,8843.0,2023,M
Mora,Connor,25-29,USA,681,112,02:27:23,8843.0,2023,M
Trimble,Luke,30-34,USA,7039,113,02:27:26,8846.0,2023,M
Keinath,Moritz,30-34,SUI,5073,114,02:27:27,8847.0,2023,M
Furcich,Justin,25-29,USA,18127,115,02:27:28,8848.0,2023,M
