Last Name,First Name,Division,Country,BIB,Overall Place,Time,seconds,Year,Gender
Kipruto,Benson,30-34,KEN,9,1,02:04:24,7464.0,2022,M
Tura Abdiwak,Seifu,25-29,ETH,1,2,02:04:49,7489.0,2022,M
Korir,John,25-29,KEN,21,3,02:05:01,7501.0,2022,M
Koech,Bernard,30-34,KEN,3,4,02:07:15,7635.0,2022,M
Tamru Aredo,Shifera,20-24,ETH,10,5,02:07:53,7673.0,2022,M
Hosoya,Kyohei,25-29,JPN,12,6,02:08:05,7685.0,2022,M
Mantz,Conner,25-29,USA,43,7,02:08:16,7696.0,2022,M
Sahli,Hamza,25-29,MAR,13,8,02:08:22,7702.0,2022,M
Kiptanui,Eric Kiprono,30-34,NED,11,9,02:08:26,7706.0,2022,M
Guojian,Dong,35-39,CHN,17,10,02:08:53,7733.0,2022,M
Panning,Zachery,25-29,USA,34,11,02:09:28,7768.0,2022,M
McDonald,Matt,25-29,USA,24,12,02:09:49,7789.0,2022,M
Montanez,Nicolas,25-29,USA,31,13,02:09:55,7795.0,2022,M
Nakanishi,Riki,30-34,JPN,19,14,02:09:59,7799.0,2022,M
Degu Tsehay,Abayneh,20-24,ETH,8,15,02:10:55,7855.0,2022,M
Tiernan,Pat,25-29,AUS,44,16,02:11:02,7862.0,2022,M
Mesel Tikue,Amanuel,30-34,ERI,15,17,02:11:38,7898.0,2022,M
Young,Clayton,25-29,USA,37,18,02:11:51,7911.0,2022,M
Wiley,Turner,25-29,USA,30,19,02:11:59,7919.0,2022,M
Fujimagari,Hiroto,25-29,JPN,16,20,02:13:04,7984.0,2022,M
Kissa,Stephen,30-34,UGA,7,21,02:13:16,7996.0,2022,M
Given,Wilkerson,30-34,USA,28,22,02:13:42,8022.0,2022,M
Koga,Kiyoshi,25-29,JPN,18,23,02:13:42,8022.0,2022,M
Buchanan,Reid,25-29,USA,27,24,02:14:06,8046.0,2022,M
Hogan,Paul,25-29,USA,35,26,02:14:55,8095.0,2022,M
Flavin,Jp,20-24,USA,42,27,02:14:55,8095.0,2022,M
Martinez,Steven,25-29,USA,36,28,02:15:22,8122.0,2022,M
Peterson,Alan,30-34,USA,32,29,02:15:30,8130.0,2022,M
